entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron engelmannii,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,Rock,Moss/Lichen/Bogr overlap,Notes
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,6,Aerial,70,70.75,70.75,4,0,4,20,0,0,0,0,6,35,1,0.5,0,5,1,4,0,6,0,0,5,0,0,0,0.25,0,0,,0.5,0,0,1,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,2,0,0,0,0,2,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,"Circium Und? Entered as CIUN; ""?Gilia (tall)"" entered as NUTE"
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,6,Basal,35,37,37.5,8,0,4,50,0,0,.,0,4,20,0.5,0.25,0,2,0.25,2,0,4,0,0,1,0,0,0,0.25,0,0,,0.25,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0.5,0,0,0,0,0.5,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,"Circium Und? Entered as CIUN; ""?Gilia (tall)"" entered as NUTE"
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,7,Aerial,72,69,70.5,4,0.25,5,20,0,0,0,0,45,1,1,2,0.5,1,2,0.5,0.25,0,0,3,6,0,0,0,0.25,0.25,0,,1,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,7,Basal,50,50,51.25,6,0.25,5,40,0,0,.,0,40,0.25,0.5,1,0.25,0.5,1,0.25,0.25,0,0,2,0.5,0,0,0,0.25,0.25,0,,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,8,Aerial,68,64.5,64.25,17,0.25,6,12,0,0,1,0,45,0,3,3,1,0.5,2,0.25,0,0,0,2,0,0,0,0.25,0.25,0.25,0.25,,0.5,0.25,0.5,0.5,0,0,0,0,0.5,3,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.5,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,8,Basal,52,53,52.75,21,0.25,6,20,0,0,.,0,41,0,2,2,1,0.25,1,0.25,0,0,0,2,0,0,0,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.5,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,9,Aerial,55,57.5,59,10,0.5,11,15,6,0,0,3,32,0.25,1,7,0,0.25,0.25,0.25,0.5,0,0,12,0,0,0,0,0,0.25,0.25,,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,9,Basal,50,45.5,50,15,1,11,20,6,0,.,2,29,0.25,0.5,5,0,0.25,0.25,0.25,0.25,0,0,10,0,0,0,0,0,0.25,0.25,,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,10,Aerial,67,63.5,65,15,0,6,10,0,0,0,0,40,0,0,9,0,0.25,0.25,0.25,0.25,4,0,0,1,0,0,0,0.25,0.25,0,,0.25,0,0,0.5,0.5,0,0,0,0.25,7,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,10,Basal,53,49.5,49.5,24,0,6,21,0,0,.,0,38,0,0,5,0,0.25,0.25,0.25,0.25,3,0,0,0,0,0,0,0.25,0.25,0,,0.25,0,0,0.25,0.25,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,11,Aerial,68,67.5,67.5,7,3,7,12,0.5,0,0,0,35,0,0.25,6,0,7,5,0.25,0,0,0,0,0,0,0,0,0,0,0,,0.25,0.25,0,1,0,0,0.25,0,0.5,0,0.25,0,0,0,0.5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Sally Koerner",6/25/2019,2019,TB,11,Basal,47,49,49.75,14,3,7,27,0.5,0,.,0,30,0,0.25,4,0,5,3,0.25,0,0,0,0,0,0,0,0,0,0,0,,0.25,0.25,0,1,0,0,0.25,0,0.25,0,0.25,0,0,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.5,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,12,Aerial,45,43.5,43.25,30,0,12,10,0,0,0,0,24,0,0,13,0,1,2,0,0,0,0,0,0.5,0,0,0,0,0,0,,0.25,0,0,1,0,0.5,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,2,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,12,Basal,30,30.25,30.25,35,0,12,15,0,0,.,0,20,0,0,7,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.25,0,0,0.5,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,6,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,13,Aerial,60,60,60,3,0,2,35,1,0,21,0,0,0.25,3,5,0,4,1,2,0,0,0,4,3,0,0,7,0,0.25,0,,0.25,0,0,0.5,0.25,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,13,Basal,30,32,33.25,5,0,2,55,1,0,.,0,0,0.25,2,3,0,3,0.5,0.5,0,0,0,3,0.25,0,0,4,0,0.25,0,,0.25,0,0,0.25,0.25,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,14,Aerial,38,44.75,44.75,15,0.25,2,35,1,0,12,0,5,0.25,0,15,0,4,6,1,0,0,0,0,3,0,0,4,0.25,0,0,,0.25,0.25,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.25,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,0.5 bare caused by adjacent root ingrowth core
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,14,Basal,27,25.75,26,20,0.25,2,50,1,0,.,0,4,0.25,0,10,0,3,3,0.25,0,0,0,0,0,0,0,3,0.25,0,0,,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.25,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,15,Aerial,88,78,78.25,2,0,0,18,0,0,0,0,0,60,0,0,0,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,,0.25,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,15,Basal,50,.,47.5,3,0,0,45,0,0,.,0,0,40,0,0,0,1,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,16,Aerial,65,65,65.5,2,0,0.25,32,0.25,0,16,0,12,1,0,3,0,4,4,0.25,0,0,0,0,0,0,0,4,0.25,0,0,,0.5,0,0,2,1,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Lauren Porensk,6/25/2019,2019,TB,16,Basal,30,32,31.5,3,0,0.25,65,0.25,0,.,0,9,0.25,0,2,0,2,2,0.25,0,0,0,0,0,0,0,2,0.25,0,0,,0.25,0,0,1,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,17,Aerial,65,62,62.75,4,0,2,28,1,0,33,0,1,0.25,0,14,0,6,11,0.25,0.25,0,0,0,2,0,0,12,0.25,0,0,,0.25,0,0,0.25,1,0,0,0,0.25,0,2,0.25,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.25,0,0,,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,17,Basal,35,32,25,7,0,2,55,1,0,.,0,0.5,0.25,0.5,8,0,3,6,0.25,0.25,0.5,0,0,0,0,0,0,0.25,0,0,,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.25,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,18,Aerial,55,57,55.5,11,1,3,28,0,0,0,0,15,0,0,16,0,3,2,13,0.25,0,0,0,0,0,0,0,0.25,0.25,0,,0.25,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,ST ARTR only recorded by Lauren
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,18,Basal,30,32,31.75,17,1,1,50,0,0,.,0,12,0,0,9,0,2,1,5,0.25,0,0,0,0,0,0,0,0.25,0.25,0,,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,Sally Koerner,6/26/2019,2019,TB,19,Aerial,75,73,74.25,10,0,15,4,0,0,1,2,45,0,0,7,0,2,1,0.25,1,0,0,0.25,4,0,0,1,0,0,0,,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,2,,"""Grindillia sq"" entered as ""Grindelia squarrosa""; ARPU cover data was listed on the line above on the datasheet, which was a blank row"
Jill Baty,Sally Koerner,6/26/2019,2019,TB,19,Basal,53,49.5,50,20,0,15,3,0,0,.,1,40,0,0,4,0,0.5,0.5,0.25,0.25,0,0,0.25,1,0,0,0.5,0,0,0,,0,0,0,0.5,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,2,,"""Grindillia sq"" entered as ""Grindelia squarrosa""; ARPU cover data was listed on the line above on the datasheet, which was a blank row"
Jill Baty,Sally Koerner,6/26/2019,2019,TB,20,Aerial,30,33,32.5,40,0,16,14,0,0,4,0,11,0,0.5,14,0,1,0.25,0.25,0.5,0,0,0,1,0,1,1,0,0,0,,0,0,0,0.5,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.5,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.25,,.
Jill Baty,Sally Koerner,6/26/2019,2019,TB,20,Basal,23,22,21.5,46,0,16,18,0,0,.,0,8,0,0.25,10,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0.5,0,0,0,,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.25,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.5,,.
