entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,bareground,litter,grasshopper_exoskeleton,final_total_datasheet,final_total_excel,OPPO_PADS,BOGR,BRTE,BRAR,HECO,PASM,POSE,VUOC,CAFI,CADU,ALDE,ARTR,DRRE,HEHI,LEDE,LOAR,OPPO,PLPA,SPCO,KOMA,NAVI,ERHO,OOMU,TAOF,GUSA,PHHO,ERPU,DEPI,CAMI,TRDU,VIAM,ALTE,COLI,MODI,NOCU,LOFO,MUDI,ARPU,POAV,CIUN_CIOC?,OEAL,DRNE,ZIVE,ANPA,ARFR,LIIN,PSTE,Unk_baby_forb_opp?,CIUN,ERPU?,PEAL,CIUN?,VEPE,MILI,MAGR,PEES,EREN,OESU,PIOP,CHLE,PEAL_LP_pic?,Unknown1_2021_no_sp_name_datasheet,notes
MF,KK,6/30/2021,2021,TB,47,aerial,50,48,47.5,0.25,0.25,,1,28,22,,,99,14,,,0.5,,35,0.5,,,,0.5,4,0.25,,,,2,,0.5,,0.5,,,,1,,,,0.25,,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,47,basal,20,20,20.25,0.25,0.25,,3,42,35,,,100.75,,,,0.25,,15,0.25,,,,0.25,2,0.25,,,,0.5,,0.25,,0.25,,,,0.25,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,49,aerial,25,25,25.5,0.25,,,0.25,12,63,,,101,4,,,1,,20,2,,,,0.25,,,,,,1,0.25,0.25,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,49,basal,10,11,11,0.25,,,0.5,15,73,,,99.75,,,,0.25,,8,1,,,,0.25,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,50,aerial,40,37,37.25,0.5,0.25,,0.25,13,50,,,101.25,,,,3,,30,0.5,,,,2,,,,,,,,0.25,,,,,,,,,,,,1,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,50,basal,15,14,14.25,1,0.25,,0.5,18,62,,,96,,,,0.5,,12,0.25,,,,0.5,,,,,,,,0.25,,,,,,,,,,,,0.25,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,52,aerial,40,40,40.25,0.25,,,6,25,30,,,101.5,,,,1,,30,0.5,,,,0.25,6,,,,,,0.25,,1,,,,,,,,,,,0.5,0.25,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,52,basal,20,19,19.75,0.5,,,8,33,40,,,101.25,,,,0.5,,12,0.25,,,,0.25,5,,,,,,0.25,,0.5,,,,,,,,,,,0.25,0.25,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,1,aerial,40,41,40.75,0.25,,0.5,1,10,50,,,102.5,6,3,16,1,1,7,,0.25,,0.25,,,,,0.25,,0.5,0.25,,6,,,,,,,,,,,,,,,,,,4,,,,,,0.5,0.5,0.25,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,1,basal,20,20.5,20.5,0.25,,1,3,15,60,,,99.75,,2,6,0.25,0.25,3,,0.25,,0.25,,,,,0.25,,0.25,0.25,,4,,,,,,,,,,,,,,,,,,3,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,2,aerial,40,41.5,41.25,,0.25,10,5,10,35,,,101.5,11,20,1,0.25,3,4,0.25,0.25,2,0.25,,,0.25,0.25,0.25,0.25,2,0.25,,,,,,,,,,,,,0.25,,,,,,,3,,0.25,,,0.25,,3,0.25,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,2,basal,28,27.5,27,,0.25,14,6,14,39,,,100.25,,17,0.25,0.25,1,1,0.25,0.25,1,0.25,,,0.25,0.25,0.25,0.25,0.5,0.25,,,,,,,,,,,,,0.25,,,,,,,2,,0.25,,,0.25,,1,0.25,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,3,aerial,55,52.5,51.75,,,6,2,10,27,,,96.75,4,16,2,0.25,3,0.5,0.5,2,6,,,,0.25,0.25,0.25,0.25,0.5,0.25,,10,,,,,,,,,,,,,,,,,,6,0.25,0.5,0.25,0.25,0.25,0.25,2,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,3,basal,35,34.5,34.75,,,8,3,18,35,,,98.75,,13,0.5,0.25,2,0.25,0.25,0.5,4,,,,0.25,0.25,0.25,0.25,0.25,0.25,,6,,,,,,,,,,,,,,,,,,4,0.25,0.25,0.25,0.25,0.25,0.25,1,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,4,aerial,45,43,43,1,,5,2,8,40,,,99,7,14,4,3,2,2,2,2,,,,,0.25,0.25,0.25,,1,0.25,,6,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,4,basal,28,26,26,1,,7,4,12,48,,,98,,12,2,1,1,0.5,0.5,0.5,,,,,0.25,0.25,0.25,,0.5,0.25,,4,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,5,aerial,65,66,67.25,,0.25,0.25,,1,35,,101,103.75,,4,27,17,,15,0.5,0.25,,0.5,,,,0.25,0.25,,,,,0.5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,5,basal,30,29,28.5,,0.25,0.5,,2,57,,100,88.25,,2,10,7,,7,0.25,0.25,,0.25,,,,0.25,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,9,aerial,50,49,48.5,,1,2,2,18,28,,101,99.5,,17,,,2,0.25,,,,2,,,,,,,,,0.25,6,,,,,,,,,,,,,,,,,,7,,,,,,,14,,,,,,,,,,,,,,,,,,resins in sp comp plot
MF,KW,6/29/2021,2021,TB,9,basal,35,33,33,,1,2,2,22,37,,99,97,,13,,,1,0.25,,,,0.5,,,,,,,,,0.25,4,,,,,,,,,,,,,,,,,,4,,,,,,,10,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,13,aerial,40,40,37.5,,,2,1,3,55,,101,98.5,23,1,2,3,7,3,2,,,3,,,,,0.25,,4,,1,4,,,,,,,,,,,,,,,,,,,0.25,,,,,,7,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,13,basal,17,17,17.25,,,2,1,5,75,,100,100.25,,0.5,0.5,1,4,1,1,,,0.5,,,,,0.25,,1,,0.25,3,,,,,,,,,,,,,,,,,,,0.25,,,,,,4,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,19,aerial,50,49,48.25,7,0.5,,6,8,30,,101,99.75,6,30,,1,,3,3,0.25,,2,,5,0.25,,,,1,0.25,0.5,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,19,basal,35,33,32.25,9,0.5,,8,12,40,,102,101.75,,25,,0.25,,1,2,0.25,,0.5,,1,0.25,,,,0.5,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,6,aerial,65,64,63.5,,0.25,,0.25,1,35,,100.5,100,,5,35,,3,5,,0.25,5,1,,7,,,,,,,0.25,1,,,,,,,,,,,,,,,,,,0.5,,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,6,basal,30,29.25,29.25,,0.25,,1,5,65,,100.5,100.5,,4,15,,2,1,,0.25,3,0.5,,2,,,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,0.25,,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,10,aerial,25,24.75,24.75,,,1,4,20,50,,100,99.75,,11,0.25,3,,0.5,4,1,2,0.25,,,,,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,10,basal,15,14.5,16.5,,,1,5,23,56,,99.5,101.5,,8,0.25,0.5,,0.25,5,0.25,1,0.25,,,,,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,14,aerial,40,39.5,39.5,,,,,15,45,,,99.5,25,6,1,6,,14,3,,,0.25,,,,,0.25,0.25,8,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,14,basal,20,19.75,19.75,,,,,23,60,,,102.75,,4,0.25,2,,6,2,,,0.25,,,,,0.25,0.25,4,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,17,aerial,45,42.5,45,,,0.25,,4,50,,,99.25,10,2,3,12,3,4,6,0.25,,0.25,,,,,,,4,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,comment on datasheet to check last 2020 data to verify ERPU?
MF,SK,6/29/2021,2021,TB,17,basal,20,18,19,,,1,,6,72,,,98,,1,0.5,4,2,0.5,3,0.25,,0.25,,,,,,,1,,0.25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,7,aerial,55,57,55.5,,0.25,1,1,4,37,,100,98.75,,35,0.5,6,2,0.5,1,,,1,0.25,4,,0.25,0.25,0.25,,0.25,,2,,,,,,,,,,,,,,,,,,,,,,,0.25,,2,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,7,basal,42,43,43.75,,0.25,2,2,7,46,,100,101,,30,0.25,2,2,0.25,0.5,,,0.25,0.25,4,,0.25,0.25,0.25,,0.25,,1,,,,,,,,,,,,,,,,,,,,,,,0.25,,2,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,8,aerial,50,51,48.25,,0.25,0.25,4,28,17,,100,97.75,3,40,0.25,0.5,0.5,1,1,0.25,,0.25,,,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,2,,,,,,,0.25,,0.5,,,,0.25,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,8,basal,45,45,41.25,,0.25,0.5,5,30,20,,100,97,,35,0.25,0.25,0.25,0.25,0.5,0.25,,0.25,,,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,2,,,,,,,0.25,,0.25,,,,0.25,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,12,aerial,40,40,37.75,0.5,,1,6,15,40,,102,100.25,,30,0.25,0.5,,2,1,,,,,0.25,0.25,0.25,0.25,0.25,,0.25,0.25,2,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,12,basal,30,33,30,2,,3,10,22,30,,100,97,,25,0.25,0.25,,1,0.5,,,,,0.25,0.25,0.25,0.25,0.25,,0.25,0.25,1,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,16,aerial,50,53,51.5,0.25,0.25,0.25,,0.5,46,,100,98.75,14,0.5,15,25,,5,0.5,,,0.5,0.25,,,,0.25,,3,,,1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,16,basal,20,22,19.75,0.25,0.25,0.25,,1,76,,100,97.5,,0.25,6,9,,3,0.25,,,0.25,0.25,,,,0.25,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,11,aerial,32,31.5,31.5,,2,3,3,6,53,,,98.5,,15,0.25,2,,6,7,,,0.25,,,,,,0.25,,0.25,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,11,basal,23,20,20.25,,2,4,3,7,60,,,96.25,,12,0.25,1,,2,4,,,0.25,,,,,,0.25,,0.25,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,15,aerial,60,60,60,,,,,1,40,,,101,,,52,1,0.25,4,,,,2,,,,0.25,,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,15,basal,30,28.5,28.5,,,,,1,70,,,99.5,,,25,,0.25,2,,,,0.5,,,,0.25,,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,18,aerial,22,25,25,,0.5,0.25,6,8,65,0.25,,104.75,,8,0.25,2,,5,5,1,,0.5,0.25,0.25,,,0.25,0.5,,0.5,0.5,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,0.5,,,,,,,,,
MF,LP,6/29/2021,2021,TB,18,basal,15,15.5,15.5,,0.25,0.25,7,10,70,0.25,,103,,6,0.25,0.5,,3,3,0.25,,0.25,0.25,0.25,,,0.25,0.25,,0.25,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,
MF,LP,6/29/2021,2021,TB,24,aerial,35,38,38,5,1,0.5,16,18,25,,,103.5,,18,,,,3,0.5,,,0.25,,0.5,,,,,,0.5,,5,,,,,,,0.25,,,,,0.25,,,,0.25,0.5,,,,,,,,9,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,24,basal,23,21,21,6,2,1,18,22,30,,,100,,15,,,,1,0.25,,,0.25,,0.25,,,,,,0.25,,3,,,,,,,0.25,,,,,0.25,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,21,aerial,48,49,49.25,3,0.25,0.5,8,15,25,,101,101,4,30,,,,3,0.5,,,0.5,,3,,,,,1,0.25,0.5,0.5,,1,,,,2,,,,,0.5,,,,,0.25,0.5,1,,,,,,,3,,0.5,,,,,,,,0.25,0.5,,,,,0.5,,
MF,KW,6/29/2021,2021,TB,21,basal,35,35,35.25,3,0.25,0.5,9,20,30,,98,98,,25,,,,1,0.25,,,0.25,,2,,,,,0.5,0.25,0.25,0.25,,0.5,,,,1,,,,,0.25,,,,,0.25,0.25,0.5,,,,,,,2,,0.25,,,,,,,,,0.25,,,,,0.25,,
MF,KW,6/29/2021,2021,TB,27,aerial,30,30,30.25,12,2,,9,8,40,,101,101.25,,8,,,1,0.5,0.5,,5,0.5,,,,,,0.25,,0.25,,3,,3,,,,0.5,,,,,0.5,,,,,,,6,,,,,,0.5,0.5,,,,,,,,,,,,0.25,,,,,,
MF,KW,6/29/2021,2021,TB,27,basal,20,20,20,13,3,,10,10,45,,101,101,,6,,,0.5,0.25,0.25,,4,0.25,,,,,,0.25,,0.25,,2,,2,,,,0.25,,,,,0.25,,,,,,,3,,,,,,0.25,0.25,,,,,,,,,,,,0.25,,,,,,
MF,KW,6/29/2021,2021,TB,32,aerial,40,40,40.5,2,0.25,,4,15,40,,101,101.75,,20,0.25,,,3,0.5,,3,0.5,,,,,,,,0.5,,4,,0.5,,,0.5,0.25,0.5,,,,,,,,,,0.25,,,,,,,,6,,,,,,,,,,,0.5,,0.25,,,,,
MF,KW,6/29/2021,2021,TB,32,basal,27,27,26.75,2,0.25,,5,20,45,,99,99,,15,0.25,,,1,0.25,,2,0.25,,,,,,,,0.25,,2,,0.25,,,0.25,0.25,0.25,,,,,,,,,,0.25,,,,,,,,4,,,,,,,,,,,0.25,,0.25,,,,,
MF,KW,6/29/2021,2021,TB,37,aerial,50,52,52.25,2,0.25,0.25,6,10,35,,103,105.75,2,35,,2,,7,0.25,,,1,0.5,,,,,,0.5,0.5,0.5,,,,,,,,,,0.25,,4,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,KW,6/29/2021,2021,TB,37,basal,37,37,37.25,2,0.25,0.25,7,12,40,,99,98.75,,30,,0.5,,3,0.25,,,0.5,0.25,,,,,,0.25,0.25,0.25,,,,,,,,,,0.25,,1,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,KK,6/29/2021,2021,TB,20,aerial,25,26,24,2,3,1,4,33,23,,100,90,6,5,,0.5,0.5,5,0.5,0.25,,0.5,0.25,2,,,0.25,0.25,1,0.25,0.25,6,,,,,1,,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,20,basal,20,19,15.75,3,5,3,7,38,26,,101,97.75,,4,,0.25,0.25,3,0.25,0.25,,0.25,0.25,1,,,0.25,0.25,0.25,0.25,0.25,4,,,,,0.5,,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,22,aerial,50,53,51.75,6,,0.5,3,15,21,,100,97.25,5,45,,,,0.5,0.5,0.25,2,0.5,,,,,,,0.25,0.25,0.25,,,0.5,,,,,,,,,0.5,0.5,,,,0.25,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,22,basal,45,42,39.25,10,,1,6,18,22,,100,96.25,,35,,,,0.25,0.25,0.25,1,0.25,,,,,,,0.25,0.25,0.25,,,0.25,,,,,,,,,0.25,0.25,,,,0.25,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,25,aerial,40,38,36,1,,0.25,5,21,35,,100,98.25,16,25,0.25,0.5,,3,0.25,0.25,,1,0.25,,,,0.25,0.25,2,0.5,,2,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,25,basal,25,27,24.75,3,,1,8,25,45,,100,106.75,,20,0.25,0.25,,1,0.25,0.25,,0.25,0.25,,,,0.25,0.25,0.5,0.25,,0.5,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,30,aerial,60,60,64.5,1,0.25,,1,10,28,,100,104.75,,40,,0.25,2,0.25,,,7,0.5,,,,,0.25,,,0.25,,2,,1,,0.5,,0.25,,,,1,,,,,,,,2,,,0.25,,,,4,,3,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,30,basal,45,46,44.75,4,0.25,,3,13,34,,100,99,,30,,0.25,1,0.25,,,5,0.25,,,,,0.25,,,0.25,,1,,0.5,,0.25,,0.25,,,,0.25,,,,,,,,1,,,0.25,,,,3,,1,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,23,aerial,60,59.5,59.5,3,,,8,15,14,,,99.5,2,40,,,,8,2,,,0.25,,0.5,0.25,,0.25,,0.5,1,,6,,,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,23,basal,40,40,40,5,,,11,25,18,,99,99,,32,,,,2,1,,,0.25,,0.25,0.25,,0.25,,0.25,0.25,,3,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,26,aerial,35,32.5,32.5,3,,,5,15,45,,,100.5,,11,,,,6,3,,3,3,,1,,,,,,0.25,0.25,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,26,basal,20,16,16,5,,,8,20,55,,104,104,,7,,,,2,2,,2,1,,0.25,,,,,,0.25,0.25,,,,,,,,,,,,0.25,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,29,aerial,40,43.5,44,2,1,,2,15,40,,,104,,11,,,,1,2,0.25,1,,,,,,0.25,,,0.25,,13,,5,,0.25,,0.5,,,,,,,,,0.5,,,3,,,,,,,2,,3,,,,,,,,,,,1,,,,,
MF,SK,6/29/2021,2021,TB,29,basal,25,24.5,25.25,4,2,,3,20,50,,103.5,104.25,,7,,,,0.25,1,0.25,0.5,,,,,,0.25,,,0.25,,8,,4,,0.25,,0.25,,,,,,,,,0.25,,,2,,,,,,,0.5,,0.25,,,,,,,,,,,0.25,,,,,
MF,SK,6/29/2021,2021,TB,34,aerial,40,44,44,0.25,0.25,,4,16,35,,99.5,99.5,,25,,0.25,0.25,1,0.25,0.25,,0.5,,,0.25,,,0.25,,0.25,,15,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,
MF,SK,6/29/2021,2021,TB,34,basal,30,33,32.75,0.25,0.25,,7,18,40,,99,98.25,,20,,0.25,0.25,0.25,0.25,0.25,,,,,0.25,,,0.25,,0.25,,10,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,
MF,LP,6/29/2021,2021,TB,28,aerial,38,38.25,38.25,12,,1,15,14,22,,,102.25,,20,,,,1,2,0.25,3,0.25,,4,,,,0.5,,2,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,28,basal,25,22.75,22.75,14,,1,17,15,28,,,97.75,,17,,,,0.25,1,0.25,2,0.25,,,,,,0.25,,0.5,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,31,aerial,45,45,44.5,3,1,0.25,18,15,18,,,99.75,2,35,,0.5,,3,4,0.25,,,,,0.25,,,0.25,0.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,
MF,LP,6/29/2021,2021,TB,31,basal,35,35,35,4,2,0.5,20,18,23,,,102.5,,30,,0.25,,1,2,0.25,,,,,0.25,,,0.25,0.25,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,
MF,LP,6/29/2021,2021,TB,35,aerial,30,29,28.75,15,0.25,,15,15,25,,,99,17,19,,,,5,1,,,,,,,,,,3,0.25,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,35,basal,20,19.25,19.25,18,0.25,,17,18,28,,,100.5,,15,,,,2,0.5,,,,,,,,,,1,0.25,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,36,aerial,43,41,40.25,8,0.25,0.25,11,20,20,,,99.75,12,16,,,,1,0.25,0.25,,0.25,,,0.25,,,,0.25,0.5,,6,,0.5,,,1,0.5,,,,,,0.25,,,,,,4,,,,0.25,,,9,,,,,,,,,,,,,,,,,,
