"Site","DxG_block","paddock","genus_species","species_code","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","flower_heads","open_flowers","percent_green","lifespan","growth_form","photosynthetic_pathway","Date","Season","people","comments","leaf_thickness_.mm.","wet_leaf_weight_g","date_lab","people_lab","comments_lab","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Total.Area","NOTES","ID"
"TB",1,"LG","Allium_textile","ALTE",6.1,0,2,0,0,1,85,"annual","forb","C3","5/24/22","Early","KB_GT_MF_KVL","plant from B2LG - height measures tallest non flowering leave (veg height), no manipulation",0.45,"0.0398","5/28/22","KB_KVL","","0.0342","0.0066",1.001,"","ALTE_TB_1_LG"
"TB",1,"MG","Allium_textile","ALTE",11,0,1,0,0,1,95,"annual","forb","C3","5/25/22","Early","KB_GT_MF_KVL","Plant from B2 LG",0.58,"0.2296","5/28/22","KB_KVL","","0.0639","0.0346",1.655,"","ALTE_TB_1_MG"
"TB",1,"HG","Allium_textile","ALTE",7.8,0,2,0,0,1,95,"annual","forb","C3","5/25/22","Early","KB_GT_MF_KVL","plant from B2LG ",0.62,"0.0702","5/28/22","KB_KVL","","0.0551","0.0145",3.547,"","ALTE_TB_1_HG"
"TB",2,"LG","Allium_textile","ALTE",9.4,0,2,0,1,0,70,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.65,"0.712","5/28/22","KB_KVL","","0.0563","0.0103",1.414,"","ALTE_TB_2_LG"
"TB",2,"MG","Allium_textile","ALTE",8.3,0,1,1,1,0,95,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 Water",0.33,"0.0656","5/28/22","KB_KVL","","0.0247","0.0082",1.53,"","ALTE_TB_2_MG"
"TB",2,"HG","Allium_textile","ALTE",6.8,0,1,0,1,0,98,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.9,"0.0564","5/28/22","KB_KVL","","0.0355","0.0064",1.206,"","ALTE_TB_2_HG"
"TB",3,"LG","Allium_textile","ALTE",7.7,0,1,1,1,0,70,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.74,"0.0636","5/29/22","KB_KVL","","0.0551","0.0105",1.349,"","ALTE_TB_3_LG"
"TB",3,"MG","Allium_textile","ALTE",4.5,0,1,0,1,0,80,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.78,"0.0495","5/29/22","KB_KVL","","0.0189","0.0064",1.058,"","ALTE_TB_3_MG"
"TB",3,"HG","Allium_textile","ALTE",6.8,0,2,0,0,1,60,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.46,"0.0301","5/29/22","KB_KVL","","0.0348","0.0045",0.902,"","ALTE_TB_3_HG"
"FK",1,"LG","Androsace_occidentalis","ANOC",2.6,3,5,4,6,0,90,"annual","forb","C3","5/30/22","Early","KB_KVL","",0.44,"0.0011","5/30/22","KB_KVL","","0.0237","1e-05",0.042,"","ANOC_FK_1_LG"
"FK",1,"MG","Androsace_occidentalis","ANOC",2,3,3,9,3,0,60,"annual","forb","C3","5/30/22","Early","KB_KVL","Plant from B1 water",0.39,"0.0005","5/30/22","KB_KVL","","0.0074","1e-05",0.021,"","ANOC_FK_1_MG"
"FK",1,"HG","Androsace_occidentalis","ANOC",3.5,4,5,11,4,0,80,"annual","forb","C3","5/30/22","Early","KB_KVL","Plant from B1 water",0.32,"0.0007","5/30/22","KB_KVL","","0.0213","0.0001",0.034,"found","ANOC_FK_1_HG"
"FK",2,"LG","Androsace_occidentalis","ANOC",2.2,2,11,6,5,0,85,"annual","forb","C3","5/31/22","Early","KB_KVL","",0.42,"0.0007","6/1/22","KB_KVL","","0.0196","0.0002",0.03,"found","ANOC_FK_2_LG"
"FK",2,"MG","Androsace_occidentalis","ANOC",2.5,3,8,8,6,0,60,"annual","forb","C3","5/31/22","Early","KB_KVL","",0.67,"0.0006","6/1/22","KB_KVL","","0.0256","1e-05",0.023,"","ANOC_FK_2_MG"
"FK",2,"HG","Androsace_occidentalis","ANOC",3.4,11,15,4,11,0,95,"annual","forb","C3","5/31/22","Early","KB_KVL","",0.46,"0.0009","6/1/22","KB_KVL","","0.0427","1e-05",0.038,"","ANOC_FK_2_HG"
"FK",3,"LG","Androsace_occidentalis","ANOC",2.5,5,4,7,2,0,80,"annual","forb","C3","5/31/22","Early","KB_KVL","",0.32,"0.0003","6/1/22","KB_KVL","","0.006","1e-05",0.057,"","ANOC_FK_3_LG"
"FK",3,"MG","Androsace_occidentalis","ANOC",3.7,7,6,7,11,0,70,"annual","forb","C3","6/1/22","Early","KB_KVL","",0.33,"0.0015","6/1/22","KB_KVL","","0.0328","1e-05",0.056,"","ANOC_FK_3_MG"
"FK",3,"HG","Androsace_occidentalis","ANOC",3.2,3,9,6,4,0,98,"annual","forb","C3","6/1/22","Early","KB_KVL","",0.4,"0.001","6/1/22","KB_KVL","","0.013","1e-05",0.03,"","ANOC_FK_3_HG"
"TB",1,"LG","Antennaria_parvifolia","ANPA",3.5,7,63,3,0,2,85,"perennial","forb","C3","5/24/22","Early","KB_GT_MF_KVL","",0.47,"0.0161","5/28/22","KB_KVL","","0.3375","0.0035",0.611,"","ANPA_TB_1_LG"
"TB",1,"MG","Antennaria_parvifolia","ANPA",1.9,9,39,1,1,13,95,"perennial","forb","C3","5/25/22","Early","KB_GT_MF_KVL","",0.33,"0.0038","5/28/22","KB_KVL","","0.3022","0.0010",0.38,"","ANPA_TB_1_MG"
"TB",1,"HG","Antennaria_parvifolia","ANPA",1.8,6,79,0,0,7,90,"perennial","forb","C3","5/25/22","Early","KB_GT_MF_KVL","",0.37,"0.0101","5/28/22","KB_KVL","","0.3741","0.0015",0.162,"","ANPA_TB_1_HG"
"TB",2,"LG","Antennaria_parvifolia","ANPA",1.4,2,18,0,1,0,95,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.43,"0.024","5/28/22","KB_KVL","","0.0832","0.0047",0.639,"","ANPA_TB_2_LG"
"TB",2,"MG","Antennaria_parvifolia","ANPA",1.8,3,41,0,0,6,97,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 Water",0.24,"0.0166","5/28/22","KB_KVL","","0.2277","0.0024",0.551,"","ANPA_TB_2_MG"
"TB",2,"HG","Antennaria_parvifolia","ANPA",3.8,8,23,6,0,7,95,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.46,"0.0112","5/28/22","KB_KVL","","0.1611","0.0027",0.321,"","ANPA_TB_2_HG"
"TB",3,"LG","Antennaria_parvifolia","ANPA",1.4,7,34,5,0,1,90,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.33,"0.0133","5/29/22","KB_KVL","","0.1261","0.0033",0.479,"","ANPA_TB_3_LG"
"TB",3,"MG","Antennaria_parvifolia","ANPA",1.1,0,13,0,11,0,98,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.34,"0.0171","5/29/22","KB_KVL","","0.0327","0.0051",0.631,"","ANPA_TB_3_MG"
"TB",3,"HG","Antennaria_parvifolia","ANPA",2,2,34,0,0,4,97,"perennial","forb","C3","5/26/22","Early","KB_GT_MF_KVL","",0.54,"0.0172","5/29/22","KB_KVL","","0.1123","0.0035",0.643,"","ANPA_TB_3_HG"
"FK",1,"LG","Artemisia_cana","ARCA",21.1,12,56,18,0,0,82,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.37,"0.0404","7/2/22","KB_MF","","0.738","0.013",1.387,"","ARCA_FK_1_LG"
"FK",1,"MG","Artemisia_cana","ARCA",63.2,7,2,2,0,0,89,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.41,"0.0387","7/2/22","KB_MF","","0.2518","0.0094",1.088,"","ARCA_FK_1_MG"
"FK",1,"HG","Artemisia_cana","ARCA",39.9,3,15,3,0,0,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.32,"0.031","7/2/22","KB_MF","","0.1295","0.0003",1.226,"","ARCA_FK_1_HG"
"FK",2,"LG","Artemisia_cana","ARCA",12.8,10,8,2,0,0,71,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.33,"0.0355","7/2/22","KB_MF","","0.1136","0.009",1.148,"","ARCA_FK_2_LG"
"FK",2,"MG","Artemisia_cana","ARCA",14.8,9,22,3,0,0,92,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.29,"0.0254","7/2/22","KB_MF","","0.1875","0.0085",0.854,"","ARCA_FK_2_MG"
"FK",2,"HG","Artemisia_cana","ARCA",18.5,16,98,0,0,0,90,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.3,"0.0319","7/2/22","KB_MF","","0.9436","0.0107",1.24,"","ARCA_FK_2_HG"
"FK",3,"LG","Artemisia_cana","ARCA",39,9,14,0,0,0,99,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B2MG",0.36,"0.0191","7/2/22","KB_MF","","0.0905","0.0061",0.622,"","ARCA_FK_3_LG"
"FK",3,"MG","Artemisia_cana","ARCA",15.9,19,37,0,0,0,95,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B2HG",0.36,"0.0284","7/2/22","KB_MF","","0.2798","0.0076",1.009,"","ARCA_FK_3_MG"
"FK",3,"HG","Artemisia_cana","ARCA",29.1,30,48,8,0,0,85,"perennial","woody","C3","7/1/22","Late","AY_JA_KW","Plant from B1LG",0.53,"0.0202","7/2/22","KB_MF","","0.4289","0.0055",0.606,"","ARCA_FK_3_HG"
"FK",1,"LG","Artemisia_dracunculus","ARDR",32,45,27,6,0,0,86,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.37,"0.0075","7/2/22","KB_MF","","0.5248","0.0014",0.236,"","ARDR_FK_1_LG"
"FK",1,"MG","Artemisia_dracunculus","ARDR",28.9,62,4,4,0,0,79,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.36,"0.0058","7/2/22","KB_MF","","0.3541","0.0005",0.199,"","ARDR_FK_1_MG"
"FK",1,"HG","Artemisia_dracunculus","ARDR",10.6,114,83,6,0,0,74,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.33,"0.0043","7/2/22","KB_MF","","0.8274","0.0008",0.167,"","ARDR_FK_1_HG"
"FK",2,"LG","Artemisia_dracunculus","ARDR",28,36,36,7,0,0,79,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.42,"0.0054","7/2/22","KB_MF","Actually ARFR - change on datasheets","0.1782","1e-05",0.26,"","ARDR_FK_2_LG"
"FK",2,"MG","Artemisia_dracunculus","ARDR",16.2,36,20,4,0,0,72,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.31,"0.0065","7/2/22","KB_MF","","0.1009","0.0018",0.268,"","ARDR_FK_2_MG"
"FK",2,"HG","Artemisia_dracunculus","ARDR",33.9,71,154,4,0,0,82,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.4,"0.0107","7/2/22","KB_MF","","0.8126","0.0031",0.394,"","ARDR_FK_2_HG"
"FK",3,"LG","Artemisia_dracunculus","ARDR",27.9,67,23,3,0,0,75,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.39,"0.0126","7/2/22","KB_MF","","0.3582","0.0039",0.431,"","ARDR_FK_3_LG"
"FK",3,"MG","Artemisia_dracunculus","ARDR",23.9,113,24,11,0,0,95,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.39,"0.0074","7/2/22","KB_MF","","0.4893","0.0014",0.257,"","ARDR_FK_3_MG"
"FK",3,"HG","Artemisia_dracunculus","ARDR",20.9,189,22,6,0,0,96,"","","","7/1/22","Late","AY_JA_KW","",0.37,"0.0052","7/2/22","KB_MF","","0.4265","0.0013",0.179,"","ARDR_FK_3_HG"
"TB",1,"LG","Artemisia_frigida","ARFR",14.8,1,23,23,0,0,85,"perennial","woody","C3","6/28/22","Late","KB","",0.17,"0.0009","6/30/22","KB_AY","","0.0148",NA,NA,NA,NA
"TB",1,"MG","Artemisia_frigida","ARFR",11.2,13,28,0,0,0,99,"perennial","woody","C3","6/28/22","Late","KB","",0.39,"0.0004","6/30/22","KB_AY","","0.0494","1e-05",NA,NA,NA
"TB",1,"HG","Artemisia_frigida","ARFR",25.5,12,60,3,0,0,95,"perennial","woody","C3","6/28/22","Late","KB","",0.35,"0.0017","6/30/22","KB_AY","","0.0626","0.002",NA,NA,NA
"TB",2,"LG","Artemisia_frigida","ARFR",10.8,12,41,4,0,0,95,"perennial","woody","C3","6/29/22","Late","KB","",0.3,"0.0015","6/30/22","KB_AY","","0.41","0.0002",NA,NA,NA
"TB",2,"MG","Artemisia_frigida","ARFR",12.9,16,44,1,0,0,95,"perennial","woody","C3","6/29/22","Late","KB","",0.36,"0.0017","6/30/22","KB_AY","","0.0567","0.0004",NA,NA,NA
"TB",2,"HG","Artemisia_frigida","ARFR",14.1,6,47,0,0,0,98,"perennial","woody","C3","6/29/22","Late","KB","",0.32,"0.0014","6/30/22","KB_AY","","0.0434","0.0001",NA,NA,NA
"TB",3,"LG","Artemisia_frigida","ARFR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","6/29/22","Late","KB","",NA,"","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"TB",3,"MG","Artemisia_frigida","ARFR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","6/29/22","Late","KB","",NA,"","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"TB",3,"HG","Aartemisia_frigida","ARFR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","6/29/22","Late","KB","",0.52,"0.00141","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"FK",1,"LG","Artemisia_frigida","ARFR",6.2,8,55,4,0,0,90,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.27,"0.0014","7/2/22","KB_MF","","0.0582","0.0003",0.053,"","ARFR_FK_1_LG"
"FK",1,"MG","Artemisia_frigida","ARFR",5.4,17,21,21,0,0,74,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.29,"0.0028","7/2/22","KB_MF","","0.1001","0.0005",0.186,"","ARFR_FK_1_MG"
"FK",1,"HG","Artemisia_frigida","ARFR",5.3,6,19,3,0,0,90,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.29,"0.0004","7/2/22","KB_MF","","0.0156","1e-05",0.053,"","ARFR_FK_1_HG"
"FK",2,"LG","Artemisia_frigida","ARFR",10.8,12,28,10,0,0,87,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.28,"0.001","7/2/22","KB_MF","","0.0365","0.0002",0.071,"","ARFR_FK_2_LG"
"FK",2,"MG","Artemisia_frigida","ARFR",4.9,14,23,5,0,0,87,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.38,"0.0015","7/2/22","KB_MF","","0.0291","0.0001",0.105,"","ARFR_FK_2_MG"
"FK",2,"HG","Artemisia_frigida","ARFR",24.8,14,45,6,0,0,77,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",0.37,"0.0018","7/2/22","KB_MF","","0.0621","0.0001",0.101,"","ARFR_FK_2_HG"
"FK",3,"LG","Artemisia_frigida","ARFR",29.6,6,33,10,0,0,81,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.37,"0.003","7/2/22","KB_MF","","0.0505","0.0007",0.202,"","ARFR_FK_3_LG"
"FK",3,"MG","Artemisia_frigida","ARFR",20.9,14,29,3,0,0,97,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.33,"0.0018","7/2/22","KB_MF","","0.0544","0.0001",0.106,"","ARFR_FK_3_MG"
"FK",3,"HG","Artemisia_frigida","ARFR",26,26,37,20,0,0,85,"perennial","woody","C3","7/1/22","Late","AY_JA_KW","",0.31,"0.0021","7/2/22","KB_MF","","0.1193","0.0014",0.145,"","ARFR_FK_3_HG"
"TB",1,"LG","Aristida_purpurea","ARPU",11.1,1,4,2,17,0,95,"perennial","graminoid","C4","6/28/22","Late","KB","",0.17,"0.0051","6/30/22","KB_AY","","0.0153","0.0012",NA,NA,NA
"TB",1,"MG","Aristida_purpurea","ARPU",18.5,0,2,0,11,0,100,"perennial","graminoid","C4","6/28/22","Late","KB","",0.2,"0.0055","6/30/22","KB_AY","","0.0223","0.002",NA,NA,NA
"TB",1,"HG","Aristida_purpurea","ARPU",24.1,0,3,0,53,0,99,"perennial","graminoid","C4","6/28/22","Late","KB","",0.18,"0.0086","6/30/22","KB_AY","","0.0064","0.0029",NA,NA,NA
"TB",2,"LG","Aristida_purpurea","ARPU",21.9,1,4,0,42,0,99,"perennial","graminoid","C4","6/29/22","Late","KB","",0.24,"0.0081","6/30/22","KB_AY","","0.0138","0.0025",NA,NA,NA
"TB",2,"MG","Aristida_purpurea","ARPU",26.5,2,3,0,22,0,60,"perennial","graminoid","C4","6/29/22","Late","KB","",0.26,"0.026","6/30/22","KB_AY","","0.0187","0.0099",NA,NA,NA
"TB",2,"HG","Aristida_purpurea","ARPU",31.6,1,1,0,18,0,100,"perennial","graminoid","C4","6/29/22","Late","KB","Plant from B2 water",0.19,"0.0185","6/30/22","KB_AY","","0.0104","0.0075",NA,NA,NA
"TB",3,"LG","Aristida_purpurea","ARPU",NA,NA,NA,NA,NA,NA,NA,"perennial","graminoid","C4","6/29/22","Late","KB","",NA,"","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"TB",3,"MG","Aristida_purpurea","ARPU",NA,NA,NA,NA,NA,NA,NA,"perennial","graminoid","C4","6/29/22","Late","KB","",NA,"","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"TB",3,"HG","Aristida_purpurea","ARPU",NA,NA,NA,NA,NA,NA,NA,"perennial","graminoid","C4","6/29/22","Late","KB","",NA,"","6/30/22","KB_AY","",NA,NA,NA,NA,NA
"FK",1,"LG","Aristida_purpurea","ARPU",14.9,1,2,2,20,0,94,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.3,"0.0097","7/2/22","KB_MF","","0.0138","0.0046",0.519,"","ARPU_FK_1_LG"
"FK",1,"MG","Aristida_purpurea","ARPU",15.5,0,1,1,66,0,98,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.18,"0.0014","7/2/22","KB_MF","","0.0195","0.0012",0.091,"","ARPU_FK_1_MG"
"FK",1,"HG","Aristida_purpurea","ARPU",17.8,1,3,1,94,0,96,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.18,"0.0069","7/2/22","KB_MF","","0.0294","0.0027",0.392,"","ARPU_FK_1_HG"
"FK",2,"LG","Aristida_purpurea","ARPU",12.7,0,1,0,32,0,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.18,"0.0088","7/2/22","KB_MF","","0.0415","0.0023",0.604,"","ARPU_FK_2_LG"
"FK",2,"MG","Aristida_purpurea","ARPU",21.8,0,1,1,43,0,97,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.22,"0.0285","7/2/22","KB_MF","","0.134","0.0123",1.639,"","ARPU_FK_2_MG"
"FK",2,"HG","Aristida_purpurea","ARPU",27.4,0,2,0,41,0,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.19,"0.0058","7/2/22","KB_MF","","0.0327","0.0018",0.288,"","ARPU_FK_2_HG"
"FK",3,"LG","Aristida_purpurea","ARPU",29.5,1,2,0,32,0,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B1water",0.29,"0.024","7/2/22","KB_MF","","0.0588","0.0087",1.214,"","ARPU_FK_3_LG"
"FK",3,"MG","Aristida_purpurea","ARPU",19.7,0,2,1,20,0,98,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B2MG",0.16,"0.0026","7/2/22","KB_MF","","0.0244","0.0004",0.118,"","ARPU_FK_3_MG"
"FK",3,"HG","Aristida_purpurea","ARPU",22.6,0,1,1,44,0,95,"perennial","graminoid","C4","7/1/22","Late","AY_JA_KW","Plant from B2HG",0.21,"0.0036","7/2/22","KB_MF","","0.0298","0.0014",0.182,"","ARPU_FK_3_HG"
"TB",1,"LG","Artemisia_tridentata","ARTR",29.9,12,15,2,0,0,90,"perennial","woody","C3","6/28/22","Late","KB","just took one small branch for everything except height",0.23,"0.0101","6/30/22","KB_AY","","0.0429","0.0022",NA,NA,NA
"TB",1,"MG","Artemisia_tridentata","ARTR",29,12,29,0,0,0,98,"perennial","woody","C3","6/28/22","Late","KB","",0.42,"0.0173","6/30/22","KB_AY","","0.0572","0.0042",NA,NA,NA
"TB",1,"HG","Artemisia_tridentata","ARTR",27.8,5,21,0,0,0,100,"perennial","woody","C3","6/28/22","Late","KB","",0.45,"0.0281","6/30/22","KB_AY","","0.081","0.0079",NA,NA,NA
"TB",2,"LG","Artemisia_tridentata","ARTR",37.6,9,18,0,1,0,85,"perennial","woody","C3","6/29/22","Late","KB","",0.37,"0.0082","6/30/22","KB_AY","","0.0121","0.0012",NA,NA,NA
"TB",2,"MG","Artemisia_tridentata","ARTR",21.6,5,10,0,0,0,98,"perennial","woody","C3","6/29/22","Late","KB","",0.49,"0.0186","6/30/22","KB_AY","","0.0295","0.0043",NA,NA,NA
"TB",2,"HG","Artemisia_tridentata","ARTR",22.3,12,16,0,0,0,100,"perennial","woody","C3","6/29/22","Late","KB","",0.49,"0.0082","6/30/22","KB_AY","","0.0345","0.0033",NA,NA,NA
"TB",3,"LG","Artemisia_tridentata","ARTR",11,10,7,0,0,0,98,"perennial","woody","C3","6/29/22","Late","KB","",0.47,"0.0149","6/30/22","KB_AY","","0.0231","0.0037",NA,NA,NA
"TB",3,"MG","Artemisia_tridentata","ARTR",15,9,6,0,0,0,90,"perennial","woody","C3","6/29/22","Late","KB","",0.45,"0.0123","6/30/22","KB_AY","","0.0309","0.0033",NA,NA,NA
"TB",3,"HG","Artemisia_tridentata","ARTR",12.5,10,10,0,0,0,90,"perennial","woody","C3","6/29/22","Late","KB","",0.28,"0.0104","6/30/22","KB_AY","","0.0511","0.0053",NA,NA,NA
"FK",1,"LG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",1,"MG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
