entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bare_ground,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,COVI,OPPO,ALTE,ALDE,ANOC,ANPA,CAMI,COUM,COCA,ERHO,HEHI,LASE,LEDE,LOAR,LOFO,MILI,MUDI,PHHO,PLPA,POAV,PSTE,SPCO,TAOF,TRDU,VIAM,PIOP,POSE,ASBI,DRRE,VINU,NAVI,LIIN,LEMO,TROC,OESU,PEAN,CIUN,SPCR,LOFO,ERPU,VEPE,ASCR,PHLO,ZIVE,PEES,MAGR,GUSA,SCLA,"Pointy petals, Rhear leaves",ZIDI,GUSA,Flesur linear leaves in bunch (KW pic),ERDI,DEPI,SCPA,Sponge leaf (KW pic) - FRUN PIOP 46 (???),Notes,,,,,,,,,,,,,,,,,Rock,Moss/Lichen/Bogr overlap,
Kathryn Bloodworth,KK,6/28/22,2022,TB,4,basal,50,48,48,0,0,3,2,0,20,25,8,22,0.25,0.25,5,6,0.5,0.25,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KK,6/28/22,2022,TB,6,aerial,50,53,53.75,0,0,0,0,0,48,2,2,22,0.25,15,1,2,2,0.25,0.25,0,0,6,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KK,6/28/22,2022,TB,6,basal,25,28,27.75,0,0,0,0,0,71,4,1,15,0.25,5,0.5,1,0.5,0.25,0.25,0,0,2,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,10,aerial,30,31,32.25,0,0,0.5,2,0,18,50,0,20,3,0.25,0,0,1,0.25,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,1,0.5,0,0,0,0,2,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,10,basal,20,21,22,0,0,0.5,2,0,26,52,0,18,0.25,0.25,0,0,0.25,0.25,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,11,aerial,30,27,27.25,0.25,1,0.5,2,0,51,15,0,16,0.5,0,0,2,5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,11,basal,15,16,17,0.25,1,0.5,2,0,61,20,0,13,0.25,0,0,1,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,12,aerial,45,45,45,3,0,3,6,0,20,23,0,38,0.25,0,0,3,1,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,12,basal,40,40,39.75,4,0,3,6,0,23,24,0,35,0.25,0,0,2,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,16,aerial,35,34,34,0,0.25,0,0.25,0,63,2,0,6,0.5,12,0,3,5,0.25,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,2,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,16,basal,15,14,14,0,0.25,0,0.25,0,80,4,0,4,0.25,3,0,2,2,0.25,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,17,aerial,25,24,24.25,0,0,2,0.25,0,68,6,0,2,1,2,2,5,3,0.25,0.25,0,0,2,0,1,0,0,0,0,0,0,0,0,0.25,0,0.25,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,17,basal,12,11,10.5,0,0,2,0.25,0,78,8,0,1,0.25,0.25,1,3,1,0.25,0.25,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,18,aerial,20,19,18.75,0.25,0,0.25,1,0,54,25,0,7,1,0,0,0,3,1,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0.25,0,0,0.25,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,18,basal,10,11,10.75,0.25,0,0.25,1,0,60,30,0,5,0.25,0,0,0,1,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,25,aerial,35,36,36,6,0,1,25,0,22,10,0,22,2,0,0,2,4,0.25,0.25,0.5,0,0,0,3,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rocky slope, very dry but off plot; should we drop this in our analyses?",,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,25,basal,25,26,25.75,8,0,1,25,0,30,12,0,18,0.25,0,0,1,2,0.25,0.25,0.25,0,0,0,2,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,27,aerial,30,29,29.25,15,0.25,0,12,0,30,13,9,3,0,0,0,2,0,0.25,0,8,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,27,basal,20,19,19.5,18,0.25,0,12,0,35,15,8,2,0,0,0,1,0,0.25,0,3,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,29,aerial,45,44,44.5,4,0,0.5,4,0,20,26,2,16,0.25,0,2,6,2,0.25,0.25,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,0.25,0,1,0,0.25,0,0,,0.25,0,0.25,0,0,0,0.25,0,0.5,0.5,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,29,basal,30,32,32.75,5,0,0.5,4,0,30,30,1,13,0.25,0,1,5,1,0.25,0.25,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,31,aerial,55,55,55.25,6,0.5,0.25,8,0,11,20,0,50,1,0,0,0,1,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,31,basal,50,51,47.75,7,1,0.25,8,0,13,22,0,45,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,33,aerial,25,25,25.75,0.5,0.25,0.25,8,0,58,9,0,10,2,0.25,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,33,basal,20,17,17,0.5,0.25,0.25,8,0,60,11,0,9,0.25,0.25,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,35,aerial,30,30,30,4,0.25,0,8,0,35,23,0,20,0.5,0,0,0.25,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,35,basal,20,22,21.75,5,0.25,0,8,0,40,25,0,16,0.25,0,0,0.25,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,36,aerial,30,29,29.25,8,0.25,0,3,0,40,20,5,13,0,0,0,1,0.5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,36,basal,23,23,23.75,9,0.25,0,3,0,42,23,4,11,0,0,0,0.5,0.25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,19,aerial,55,56,56.5,5,0,0.25,10,0,14,15,1,40,2,0,0,2,4,0.5,0.25,0,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,1,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,19,basal,45,44,44.25,6,0,0.25,10,0,24,16,0.5,35,0.25,0,0,1,2,0.25,0.25,0,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,21,aerial,45,45,45,2,0,0,13,0,15,25,3,28,0,0,0,0.5,1,0.25,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,21,basal,35,36,36.5,2,0,0,13,0,23,27,2,25,0,0,0,0.25,0.25,0.25,0,0,2,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,2,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,23,aerial,45,45,45.5,5,0,0,6,0,23,21,0,35,0,0,0,2,6,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.5,0,0,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/28/22,2022,TB,23,basal,35,36,35.75,6,0,0,6,0,30,23,0,30,0,0,0,1,3,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,43,aerial,45,44,43.75,0.25,0.25,0.25,1,0,51,2,0,9,1,0,0,5,8,0,0,0,0,0,0,6,0,2,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0,0,0,0.25,0,0,0.25,1,0,6,0,0,0,0.25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,43,basal,20,21,20.75,0.25,0.25,0.25,1,0,74,4,0,7,0.25,0,0,3,4,0,0,0,0,0,0,2,0,0.5,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,45,aerial,40,39,40,0.25,0,0.25,3,0,20,37,0,0,3,0,0,2,17,0,0,0,0,0.5,0,0,0,3,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,1,0.5,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
