observers,date,site,block,plot,genus_species,symbol,aerial_cover,basal_cover,notes
SEK,7/3/19,FK,1,12,Added_Total,,63,25.75,
KW,7/3/19,FK,1,18,Estimated_Total,,62,30,
KJK,7/3/19,FK,1,16,Added_Total,,61,34,
SEK,7/1/19,FK,3,47,Added_Total,,60.25,36.25,
KJK,7/3/19,FK,1,6,Added_Total,,60,28,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Estimated_Total,,60,40,
KJK,7/3/19,FK,1,14,Added_Total,,60,38,2.5% of plot is clipped
KJK,7/3/19,FK,1,16,Estimated_Total,,60,30,
KW,7/2/19,FK,2,29,Estimated_Total,,60,35,
KW_KJK,7/2/19,FK,2,33,Added_Total,,60,45,
KJK,7/2/19,FK,2,34,Litter,,60,76,
KRW_KJK_SEK,7/1/19,FK,3,39,Estimated_Total,,60,30,
KJK,7/1/19,FK,3,40,Estimated_Total,,60,25,
KJK,7/1/19,FK,3,42,Estimated_Total,,60,30,
SEK,7/1/19,FK,3,47,Estimated_Total,,60,35,
KJK_SEK_KRW,7/1/19,FK,3,54,Estimated_Total,,60,35,forage quality in plot
KJK,7/1/19,FK,3,50,Added_Total,,58,27,
KW_KJK,7/2/19,FK,1,2,Added_Total,,56,18,2.5% of spp comp plot clipped
SEK,7/3/19,FK,1,13,Added_Total,,56,35.75,
KJK,7/3/19,FK,1,6,Estimated_Total,,55,30,
SEK,7/3/19,FK,1,13,Estimated_Total,,55,40,
KJK,7/3/19,FK,1,14,Estimated_Total,,55,35,2.5% of plot is clipped
SEK,7/3/19,FK,1,15,Estimated_Total,,55,43,
SEK,7/2/19,FK,2,25,Estimated_Total,,55,35,
KJK,7/2/19,FK,2,32,Added_Total,,55,27,
KW,7/1/19,FK,3,41,Estimated_Total,,55,30,
KJK,7/1/19,FK,3,43,Estimated_Total,,55,25,
KJK,7/1/19,FK,3,43,Added_Total,,55,28,
KJK,7/1/19,FK,3,50,Estimated_Total,,55,30,
SEK,7/2/19,FK,1,1,Bromus_arvensis,BRAR,55,40,
KW,7/2/19,FK,2,26,Bromus_arvensis,BRAR,55,27,
KW,7/1/19,FK,3,37,Bromus_arvensis,BRAR,55,25,
SEK,7/1/19,FK,3,48,Bromus_arvensis,BRAR,55,40,
SEK,7/1/19,FK,2,27,Added_Total,,53,34.5,
KJK,7/2/19,FK,2,22,Added_Total,,51,22,
SEK,7/2/19,FK,1,5,Estimated_Total,,50,40,
SEK,7/1/19,FK,2,27,Estimated_Total,,50,38,
SEK,7/2/19,FK,2,31,Estimated_Total,,50,25,
SEK,7/2/19,FK,2,36,Estimated_Total,,50,35,
SEK,7/2/19,FK,1,3,Bromus_arvensis,BRAR,50,43,
SEK,7/1/19,FK,3,47,Bromus_arvensis,BRAR,50,30,
KRW_KJK_SEK,7/1/19,FK,3,53,Bromus_arvensis,BRAR,50,20,
KJK,7/2/19,FK,2,22,Litter,,46,55,
KW_KJK,7/2/19,FK,1,2,Estimated_Total,,45,20,2.5% of spp comp plot clipped
KJK,7/2/19,FK,2,22,Estimated_Total,,45,25,
KJK,7/2/19,FK,2,32,Estimated_Total,,45,25,
SEK,7/2/19,FK,2,19,Bromus_arvensis,BRAR,45,35,
KW_KJK,7/2/19,FK,2,35,Bromus_arvensis,BRAR,45,25,
SEK,7/1/19,FK,3,44,Bromus_arvensis,BRAR,45,35,
KRW_KJK_SEK,7/1/19,FK,3,52,Bromus_arvensis,BRAR,45,15,
KJK,7/1/19,FK,2,30,Added_Total,,44,24,
SEK,7/2/19,FK,2,31,Added_Total,,44,23.5,
KJK,7/1/19,FK,3,43,Litter,,43,60,
SEK,7/2/19,FK,1,5,Litter,,40,55,
KJK,7/3/19,FK,1,6,Litter,,40,55,
KW,7/2/19,FK,2,26,Added_Total,,40,40,
KW,7/2/19,FK,2,29,Litter,,40,64,
KJK,7/1/19,FK,2,30,Estimated_Total,,40,25,
KJK,7/1/19,FK,2,30,Litter,,40,45,
SEK,7/2/19,FK,2,31,Litter,,40,50,
KJK,7/1/19,FK,3,50,Litter,,40,65,
KJK,7/3/19,FK,1,6,Bromus_arvensis,BRAR,40,18,
KJK,7/2/19,FK,2,20,Bromus_arvensis,BRAR,40,20,
KW,7/2/19,FK,2,23,Bromus_arvensis,BRAR,40,20,
KJK,7/1/19,FK,3,42,Bromus_arvensis,BRAR,40,18,
KW,7/3/19,FK,1,8,Bromus_tectorum,BRTE,40,20,
KJK,7/1/19,FK,2,28,Added_Total,,39,15,2.5% of spp comp plot clipped
SEK,7/2/19,FK,2,25,Bare Ground,,37,50,
KW,7/3/19,FK,1,18,Litter,,36,67,
KJK,7/1/19,FK,3,45,Bromus_tectorum,BRTE,36,15,
KW_KJK,7/2/19,FK,1,2,Litter,,35,50,2.5% of spp comp plot clipped
SEK,7/3/19,FK,1,15,Litter,,35,40,
KW,7/2/19,FK,2,23,Litter,,35,58,
KJK,7/1/19,FK,2,28,Estimated_Total,,35,15,2.5% of spp comp plot clipped
KJK,7/1/19,FK,2,28,Litter,,35,40,2.5% of spp comp plot clipped
KJK,7/2/19,FK,2,32,Litter,,35,50,
KW_KJK,7/2/19,FK,2,33,Litter,,35,60,
KW_KJK,7/2/19,FK,2,35,Litter,,35,65,
KRW_KJK_SEK,7/1/19,FK,3,39,Litter,,35,60,
KJK,7/1/19,FK,3,42,Litter,,35,60,
KRW_KJK_SEK,7/1/19,FK,3,53,Litter,,35,60,
KW_KJK,7/2/19,FK,1,2,Bromus_arvensis,BRAR,35,13,2.5% of spp comp plot clipped
SC_AD_KJB_SEK,7/2/19,FK,1,9,Bromus_arvensis,BRAR,35,15,
KW,7/3/19,FK,1,18,Bromus_arvensis,BRAR,35,17,
KJK,7/1/19,FK,3,38,Bromus_arvensis,BRAR,35,15,
KJK,7/1/19,FK,3,40,Bromus_arvensis,BRAR,35,15,
KW,7/1/19,FK,3,49,Bromus_arvensis,BRAR,35,20,
KJK,7/1/19,FK,3,50,Bromus_arvensis,BRAR,35,15,
KJK_SEK_KRW,7/1/19,FK,3,54,Bromus_arvensis,BRAR,35,20,forage quality in plot
KW,7/3/19,FK,1,17,Bromus_tectorum,BRTE,35,15,
KJK_SEK_KRW,7/1/19,FK,3,51,Hesperostipa_comata,HECO,35,25,
KJK_SEK_KRW,7/1/19,FK,3,51,Bromus_arvensis,BRAR,32,18,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Litter,,31,45,
SEK,7/2/19,FK,1,3,Litter,,30,37,
SEK,7/3/19,FK,1,13,Litter,,30,40,
KJK,7/3/19,FK,1,14,Bare Ground,,30,40,2.5% of plot is clipped
KJK,7/2/19,FK,2,20,Bouteloua_dactyloides,BODA,30,20,
KW,7/2/19,FK,2,21,Litter,,30,59,
KW,7/2/19,FK,2,26,Litter,,30,57,
SEK,7/1/19,FK,2,27,Litter,,30,35,
KJK,7/2/19,FK,2,34,Estimated_Total,,30,12,
SEK,7/2/19,FK,2,36,Bare Ground,,30,40,
SEK,7/1/19,FK,3,47,Litter,,30,45,
KJK_SEK_KRW,7/1/19,FK,3,54,Litter,,30,40,forage quality in plot
KRW_KJK_SEK,7/1/19,FK,3,52,Litter,,30,65,
KJK,7/3/19,FK,1,14,Bouteloua_gracilis,BOGR,30,23,2.5% of plot is clipped
KW_KJK,7/2/19,FK,1,4,Bromus_arvensis,BRAR,30,10,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Bromus_arvensis,BRAR,30,18,
SEK,7/3/19,FK,1,15,Bromus_arvensis,BRAR,30,20,
KW_KJK,7/2/19,FK,2,33,Bromus_arvensis,BRAR,30,15,
SEK,7/2/19,FK,2,36,Bromus_arvensis,BRAR,30,20,
KRW_KJK_SEK,7/1/19,FK,3,39,Bromus_arvensis,BRAR,30,18,
KJK,7/1/19,FK,3,43,Bromus_arvensis,BRAR,30,12,
SEK,7/3/19,FK,1,12,Litter,,29,54,
KJK,7/2/19,FK,2,34,Added_Total,,29,13,
KJK,7/3/19,FK,1,16,Litter,,28,41,
KW,7/1/19,FK,3,41,Litter,,28,60,
SEK,7/3/19,FK,1,12,Bromus_tectorum,BRTE,28,10,
KJK,7/1/19,FK,3,45,Bromus_arvensis,BRAR,27,10,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Litter,,26,45,
KW,7/3/19,FK,1,17,Litter,,26,55,
KJK_SEK_KRW,7/1/19,FK,3,51,Litter,,26,46,
KJK,7/2/19,FK,2,22,Bromus_arvensis,BRAR,26,15,
KW_KJK,7/2/19,FK,1,4,Litter,,25,30,
KJK,7/1/19,FK,2,28,Bare Ground,,25,35,2.5% of spp comp plot clipped
KW,7/1/19,FK,3,37,Litter,,25,55,
KJK,7/1/19,FK,3,38,Litter,,25,40,
KJK,7/1/19,FK,3,40,Litter,,25,25,
SEK,7/1/19,FK,3,44,Litter,,25,38,
KW,7/1/19,FK,3,46,Litter,,25,63,
SEK,7/1/19,FK,3,48,Litter,,25,40,
SEK,7/2/19,FK,1,5,Bromus_arvensis,BRAR,25,15,
KW,7/2/19,FK,2,29,Bromus_arvensis,BRAR,25,10,
KW,7/1/19,FK,3,41,Bromus_arvensis,BRAR,25,10,
KJK_SC,7/3/19,FK,1,10,Bromus_tectorum,BRTE,25,10,2.5% of plot was clipped
SEK_KJB,7/3/19,FK,1,11,Bromus_tectorum,BRTE,25,10,
KW,7/3/19,FK,1,8,Litter,,24,59,
KW_KJK,7/2/19,FK,2,33,Carex_filifolia,CAFI,23,20,
KW,7/1/19,FK,3,49,Litter,,22,50,
KJK,7/3/19,FK,1,16,Bromus_tectorum,BRTE,22,6,
SEK,7/2/19,FK,1,1,Litter,,20,45,
KW_KJK,7/2/19,FK,1,2,Bare Ground,,20,30,2.5% of spp comp plot clipped
SC_AD_KJB_SEK,7/2/19,FK,1,7,overlap,,20,,
SC_AD_KJB_SEK,7/2/19,FK,1,9,overlap,,20,,
KJK_SC,7/3/19,FK,1,10,Litter,,20,50,2.5% of plot was clipped
SEK,7/2/19,FK,2,24,Carex_filifolia,CAFI,20,16,
SEK,7/1/19,FK,2,27,Bare Ground,,20,27,
KJK,7/1/19,FK,2,30,Bare Ground,,20,30,
KJK,7/2/19,FK,2,32,Bare Ground,,20,25,
SEK,7/2/19,FK,2,36,Litter,,20,25,
KJK_SC,7/3/19,FK,1,10,Bromus_arvensis,BRAR,20,9,2.5% of plot was clipped
SEK,7/3/19,FK,1,13,Bromus_arvensis,BRAR,20,13,
SEK,7/1/19,FK,2,27,Bromus_arvensis,BRAR,20,17,
KJK,7/1/19,FK,2,28,Bromus_arvensis,BRAR,20,8,2.5% of spp comp plot clipped
KJK,7/2/19,FK,2,32,Bromus_arvensis,BRAR,20,10,
SEK,7/2/19,FK,2,25,Tragopogon_dubius,TRDU,20,4,
KJK,7/1/19,FK,3,40,Tragopogon_dubius,TRDU,20,5,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Carex_filifolia,CAFI,19,14,
SEK_KJB,7/3/19,FK,1,11,Litter,,18,48,
SEK,7/2/19,FK,2,19,Litter,,18,25,
SEK,7/2/19,FK,2,19,Bare Ground,,18,20,
SEK,7/2/19,FK,2,25,Bromus_tectorum,BRTE,18,9,
SEK,7/2/19,FK,1,3,Overlap,,15,,
SEK,7/2/19,FK,1,5,Overlap,,15,,
KJK_SC,7/3/19,FK,1,10,overlap,,15,,2.5% of plot was clipped
SEK,7/3/19,FK,1,13,Bare Ground,,15,20,
KJK,7/3/19,FK,1,14,Litter,,15,22,2.5% of plot is clipped
SEK,7/3/19,FK,1,15,overlap,,15,,
KJK,7/2/19,FK,2,20,overlap,,15,,
SEK,7/2/19,FK,2,25,Overlap,,15,,
KJK,7/1/19,FK,2,30,Carex_filifolia,CAFI,15,12,
SEK,7/2/19,FK,2,36,Overlap,,15,,
KJK,7/1/19,FK,3,40,Bare Ground,,15,15,
KW,7/1/19,FK,3,41,Carex_filifolia,CAFI,15,11,
KRW_KJK_SEK,7/1/19,FK,3,53,Overlap,,15,,
KW,7/3/19,FK,1,8,Bromus_arvensis,BRAR,15,7,
SEK,7/2/19,FK,2,31,Bromus_arvensis,BRAR,15,10,
KRW_KJK_SEK,7/1/19,FK,3,52,Hesperostipa_comata,HECO,15,5,
SEK,7/3/19,FK,1,15,Tragopogon_dubius,TRDU,15,4,
SEK,7/2/19,FK,2,36,Tragopogon_dubius,TRDU,15,2,
KJK,7/3/19,FK,1,16,Artemisia_frigida,ARFR,14,12,
KJK,7/1/19,FK,3,43,Carex_filifolia,CAFI,14,10,
KJK,7/1/19,FK,3,38,Hesperostipa_comata,HECO,14,10,
SEK,7/2/19,FK,1,3,Tragopogon_dubius,TRDU,14,2,
KW,7/2/19,FK,2,29,Carex_filifolia,CAFI,13,9,
KJK_SEK_KRW,7/1/19,FK,3,54,Hesperostipa_comata,HECO,13,4,forage quality in plot
SC_AD_KJB_SEK,7/2/19,FK,1,7,Tragopogon_dubius,TRDU,13,6,
KW_KJK,7/2/19,FK,1,4,Carex_filifolia,CAFI,12,9,
KJK,7/3/19,FK,1,16,Bare Ground,,12,25,
KW_KJK,7/2/19,FK,2,35,Linum_rigidum,LIRI,12,7,
KRW_KJK_SEK,7/1/19,FK,3,39,Carex_filifolia,CAFI,12,8,
KRW_KJK_SEK,7/1/19,FK,3,52,Overlap,,12,,
KW,7/2/19,FK,2,29,Bouteloua_gracilis,BOGR,12,9,
KJK,7/3/19,FK,1,14,Bromus_arvensis,BRAR,12,4,2.5% of plot is clipped
KJK,7/1/19,FK,2,30,Bromus_arvensis,BRAR,12,5,
KJK,7/2/19,FK,2,34,Bromus_arvensis,BRAR,12,4,
KW,7/1/19,FK,3,37,Hesperostipa_comata,HECO,12,7,
KJK,7/1/19,FK,3,50,Hesperostipa_comata,HECO,12,8,
KRW_KJK_SEK,7/1/19,FK,3,53,Tragopogon_dubius,TRDU,12,4,
KJK,7/2/19,FK,2,20,Carex_durescula,CADU,11,3,
KW_KJK,7/2/19,FK,1,2,Tragopogon_dubius,TRDU,11,2,2.5% of spp comp plot clipped
KW,7/3/19,FK,1,8,Tragopogon_dubius,TRDU,11,3,
KW_KJK,7/2/19,FK,1,2,overlap,,10,,2.5% of spp comp plot clipped
KW_KJK,7/2/19,FK,1,4,Bare Ground,,10,40,
SEK,7/2/19,FK,1,5,Artemisia_frigida,ARFR,10,6,
KJK_SC,7/3/19,FK,1,10,Artemisia_frigida,ARFR,10,8,2.5% of plot was clipped
SEK_KJB,7/3/19,FK,1,11,Carex_filifolia,CAFI,10,8,
SEK,7/3/19,FK,1,13,Carex_filifolia,CAFI,10,7,
KJK,7/2/19,FK,2,20,Litter,,10,45,
KW,7/2/19,FK,2,23,Carex_filifolia,CAFI,10,7,
SEK,7/2/19,FK,2,24,Overlap,,10,,
SEK,7/2/19,FK,2,31,Bare Ground,,10,25,
KJK,7/2/19,FK,2,32,Carex_filifolia,CAFI,10,8,
KJK,7/2/19,FK,2,34,Bare Ground,,10,12,
SEK,7/1/19,FK,3,44,Bare Ground,,10,17,
KJK,7/1/19,FK,3,45,Litter,,10,20,
SEK,7/1/19,FK,3,47,Bare Ground,,10,20,
KW,7/1/19,FK,3,49,Carex_filifolia,CAFI,10,7,
KRW_KJK_SEK,7/1/19,FK,3,53,Carex_filifolia,CAFI,10,4,
KJK_SEK_KRW,7/1/19,FK,3,54,Bare Ground,,10,30,forage quality in plot
KJK,7/3/19,FK,1,16,Bromus_arvensis,BRAR,10,6,
SEK,7/2/19,FK,2,25,Bromus_arvensis,BRAR,10,7,
KJK,7/1/19,FK,3,45,Hesperostipa_comata,HECO,10,6,
KW,7/1/19,FK,3,49,Hesperostipa_comata,HECO,10,4,
KW,7/2/19,FK,2,29,Logfia_arvensis,LOAR,10,7,
SEK,7/3/19,FK,1,15,Poa_secunda,POSE,10,6,
KJK,7/2/19,FK,2,22,Tragopogon_dubius,TRDU,10,2,
KW_KJK,7/2/19,FK,1,4,Artemisia_frigida,ARFR,9,8,
KW,7/3/19,FK,1,18,Artemisia_frigida,ARFR,9,6,
KJK,7/2/19,FK,2,22,Bare Ground,,9,20,
SEK,7/1/19,FK,2,27,Carex_filifolia,CAFI,9,7,
SEK,7/2/19,FK,2,31,Carex_filifolia,CAFI,9,6,
KRW_KJK_SEK,7/1/19,FK,3,39,Overlap,,9,,
SEK,7/1/19,FK,3,48,Carex_filifolia,CAFI,9,6,
SEK,7/2/19,FK,1,3,Hesperostipa_comata,HECO,9,5,
SEK,7/2/19,FK,1,5,Tragopogon_dubius,TRDU,9,2,
KRW_KJK_SEK,7/1/19,FK,3,39,Tragopogon_dubius,TRDU,9,1,
SEK,7/2/19,FK,1,1,Carex_filifolia,CAFI,8,5,
SC_AD_KJB_SEK,7/2/19,FK,1,7,opuntia_pads,,8,,
KW,7/3/19,FK,1,8,Artemisia_frigida,ARFR,8,6,
KJK_SC,7/3/19,FK,1,10,Carex_filifolia,CAFI,8,6,2.5% of plot was clipped
KW,7/3/19,FK,1,17,Bare Ground,,8,20,
SEK,7/2/19,FK,2,24,Litter,,8,15,
SEK,7/2/19,FK,2,25,Litter,,8,15,
KW,7/2/19,FK,2,26,Carex_filifolia,CAFI,8,6,
KJK,7/2/19,FK,2,32,overlap,,8,,
SEK,7/2/19,FK,2,36,Carex_filifolia,CAFI,8,5,
KJK,7/1/19,FK,3,38,Bare Ground,,8,25,
KJK,7/1/19,FK,3,40,overlap,,8,,
KJK,7/1/19,FK,3,42,Carex_filifolia,CAFI,8,6,
KRW_KJK_SEK,7/1/19,FK,3,53,Carex_durescula,CADU,8,1,
KRW_KJK_SEK,7/1/19,FK,3,52,Carex_filifolia,CAFI,8,6,
SEK_KJB,7/3/19,FK,1,11,Bromus_arvensis,BRAR,8,5,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Bromus_tectorum,BRTE,8,3,
KJK,7/3/19,FK,1,6,Hesperostipa_comata,HECO,8,6,
KJK,7/3/19,FK,1,16,Hesperostipa_comata,HECO,8,6,
KW,7/3/19,FK,1,18,Hesperostipa_comata,HECO,8,4,
KJK,7/2/19,FK,2,20,Hesperostipa_comata,HECO,8,3,
KW,7/1/19,FK,3,46,Hesperostipa_comata,HECO,8,4,
SEK_KJB,7/3/19,FK,1,11,Tragopogon_dubius,TRDU,8,3,
SEK,7/1/19,FK,2,27,Tragopogon_dubius,TRDU,8,1,
KJK,7/1/19,FK,3,38,Tragopogon_dubius,TRDU,8,2,
KW,7/1/19,FK,3,41,Tragopogon_dubius,TRDU,8,3,
KJK,7/1/19,FK,3,42,Tragopogon_dubius,TRDU,8,2,
SEK,7/1/19,FK,3,44,Tragopogon_dubius,TRDU,8,1,
SEK,7/2/19,FK,1,5,Carex_filifolia,CAFI,7,5,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Carex_filifolia,CAFI,7,6,
SEK,7/3/19,FK,1,12,Lithospermum_incisum,LIIN,7,0.25,
SEK,7/3/19,FK,1,13,Artemisia_frigida,ARFR,7,6,
SEK,7/3/19,FK,1,15,Bare Ground,,7,12,
KJK,7/2/19,FK,2,22,Carex_durescula,CADU,7,2,
KW,7/2/19,FK,2,23,Carex_durescula,CADU,7,3,
SEK,7/2/19,FK,2,24,Bare Ground,,7,20,
SEK,7/2/19,FK,2,25,Artemisia_frigida,ARFR,7,5,
SEK,7/1/19,FK,3,47,Carex_filifolia,CAFI,7,5,
KJK,7/2/19,FK,2,32,Bouteloua_gracilis,BOGR,7,5,
SEK,7/1/19,FK,3,44,Bouteloua_gracilis,BOGR,7,0.5,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Bromus_tectorum,BRTE,7,3,
SEK,7/1/19,FK,3,48,Hesperostipa_comata,HECO,7,4,
SEK,7/3/19,FK,1,13,Poa_secunda,POSE,7,4,
SEK,7/2/19,FK,2,31,Poa_secunda,POSE,7,4,
SEK,7/2/19,FK,1,1,Tragopogon_dubius,TRDU,7,1,
KW,7/3/19,FK,1,17,Tragopogon_dubius,TRDU,7,1,
SEK,7/2/19,FK,2,19,Tragopogon_dubius,TRDU,7,1,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Bare Ground,,6,9,
KJK_SC,7/3/19,FK,1,10,Bare Ground,,6,15,2.5% of plot was clipped
SEK_KJB,7/3/19,FK,1,11,Artemisia_frigida,ARFR,6,5,
SEK_KJB,7/3/19,FK,1,11,Bare Ground,,6,10,
KJK,7/2/19,FK,2,22,overlap,,6,,
SEK,7/1/19,FK,2,27,Artemisia_frigida,ARFR,6,5,
KJK,7/1/19,FK,2,28,Dung,,6,10,2.5% of spp comp plot clipped
KW_KJK,7/2/19,FK,2,33,Artemisia_frigida,ARFR,6,4,
KW,7/1/19,FK,3,41,Bare Ground,,6,10,
KJK,7/1/19,FK,3,42,overlap,,6,,
SEK,7/3/19,FK,1,12,Bouteloua_gracilis,BOGR,6,5,
SEK,7/2/19,FK,1,1,Hesperostipa_comata,HECO,6,3,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Hesperostipa_comata,HECO,6,3,
SEK,7/3/19,FK,1,12,Hesperostipa_comata,HECO,6,3,
SEK,7/3/19,FK,1,15,Hesperostipa_comata,HECO,6,4,
KRW_KJK_SEK,7/1/19,FK,3,39,Hesperostipa_comata,HECO,6,3,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Pascopyrum_smithii,PASM,6,4,
SEK_KJB,7/3/19,FK,1,11,Sphaeralcea_coccinea,SPCO,6,0.5,
KJK,7/2/19,FK,2,32,Sphaeralcea_coccinea,SPCO,6,1,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Tragopogon_dubius,TRDU,6,1,
KJK_SC,7/3/19,FK,1,10,Tragopogon_dubius,TRDU,6,2,2.5% of plot was clipped
KJK,7/2/19,FK,2,20,Tragopogon_dubius,TRDU,6,1,
KJK_SEK_KRW,7/1/19,FK,3,54,Tragopogon_dubius,TRDU,6,1,forage quality in plot
SEK,7/2/19,FK,1,3,Bare Ground,,5,8,
SEK,7/2/19,FK,1,5,Bare Ground,,5,10,
KJK,7/3/19,FK,1,6,Bare Ground,,5,10,
KJK_SC,7/3/19,FK,1,10,opuntia_pads,,5,,2.5% of plot was clipped
SEK,7/3/19,FK,1,12,Bare Ground,,5,15,
KJK,7/3/19,FK,1,14,Carex_filifolia,CAFI,5,4,2.5% of plot is clipped
KJK,7/2/19,FK,2,20,Bare Ground,,5,15,
KW,7/2/19,FK,2,26,Artemisia_frigida,ARFR,5,3,
KJK,7/1/19,FK,2,28,Carex_filifolia,CAFI,5,3,2.5% of spp comp plot clipped
KJK,7/1/19,FK,2,30,Artemisia_dracunculus,ARDR,5,2,
KW,7/1/19,FK,3,37,Carex_filifolia,CAFI,5,3,
KJK,7/1/19,FK,3,38,Carex_filifolia,CAFI,5,4,
KJK,7/1/19,FK,3,38,overlap,,5,,
KRW_KJK_SEK,7/1/19,FK,3,39,Bare Ground,,5,10,
KJK,7/1/19,FK,3,45,Bare Ground,,5,40,
SEK,7/1/19,FK,3,48,Overlap,,5,,
KJK,7/1/19,FK,3,50,Bare Ground,,5,8,
KJK_SEK_KRW,7/1/19,FK,3,54,Carex_filifolia,CAFI,5,3,forage quality in plot
KJK,7/2/19,FK,2,34,Bouteloua_gracilis,BOGR,5,4,
SEK,7/2/19,FK,2,36,Bouteloua_gracilis,BOGR,5,4,
KW,7/3/19,FK,1,17,Bromus_arvensis,BRAR,5,2,
