site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_ flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,scenesced_leaves,height_cm,date,observer,comments
FK,Bromus_arvensis,BRAR,3,3,0,n,y,y,y,y,n,n,y,0,0,4,15.3,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,3,1,85,n,y,y,y,y,n,n,y,0,2,1,41.1,7/5/20,MF_KB,phenology on whole plant
FK,Hesperostipa_comata,HECO,3,2,70,n,y,y,y,y,n,n,y,0,2,1,17.1,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,3,3,60,n,y,y,y,y,n,n,y,1,2,0,35.1,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,3,1,90,n,y,y,y,y,n,n,y,1,2,0,21.8,7/5/20,MF_KB,phenology on whole plant
FK,Koleleria_macrantha,KOMA,3,2,95,n,y,y,y,y,n,n,y,1,2,2,26.2,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,3,3,98,n,y,n,n,n,n,n,n,0,3,1,28.3,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,3,1,80,n,y,n,n,n,n,n,n,2,7,2,6.2,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,3,2,95,n,y,n,n,y,n,n,y,3,14,0,14.7,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,3,3,95,n,y,n,n,n,n,n,n,0,8,0,20.1,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,3,1,70,n,y,y,n,n,n,n,n,0,6,4,25.6,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,3,2,55,n,y,y,n,y,n,n,y,0,10,13,38.5,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,3,3,30,n,y,y,y,y,n,n,y,0,3,19,46.7,7/5/20,MF_KB,
TB,Bouteloua_gracilis,BOGR,1,1,98,n,y,n,n,n,n,n,n,1,3,0,9,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,1,2,60,n,y,n,n,n,n,n,n,0,3,1,11.6,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,1,3,90,n,y,n,n,n,n,n,n,0,5,2,6,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,1,1,95,n,y,y,y,y,n,n,y,0,2,1,19.7,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,1,2,15,n,y,y,y,y,n,n,y,0,3,0,27.4,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,1,3,100,n,y,n,n,n,n,n,n,1,2,0,8.1,7/2/20,KB,
TB,Logfia_arvensis,LOAR,1,1,50,n,y,y,y,y,n,n,y,9,20,24,14.5,7/2/20,KB,
TB,Logfia_arvensis,LOAR,1,2,35,n,y,y,n,n,n,n,n,6,28,14,7.6,7/2/20,KB,
TB,Logfia_arvensis,LOAR,1,3,40,n,y,y,n,n,n,n,n,4,26,11,6.8,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,1,1,95,n,y,n,n,n,n,n,n,0,3,1,20.6,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,1,2,98,n,y,n,n,n,n,n,n,0,3,0,23,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,1,3,98,n,y,n,n,n,n,n,n,0,3,0,14,7/2/20,KB,
TB,Vicia_americana,VIAM,1,1,80,n,y,n,n,n,n,n,n,0,9,10,21.5,7/2/20,KB,
TB,Vicia_americana,VIAM,1,2,95,n,y,n,n,n,n,n,n,0,6,0,31.5,7/2/20,KB,
TB,Vicia_americana,VIAM,1,3,90,n,y,n,n,n,n,n,n,1,9,6,12,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,2,1,85,n,y,n,n,n,n,n,n,1,2,0,5.9,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,2,2,20,n,y,n,n,n,n,n,n,0,3,0,4.7,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,2,3,85,n,y,n,n,n,n,n,n,1,2,2,6.2,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,2,1,40,n,y,y,y,y,n,n,y,0,2,0,29,7/2/20,KB,Phenology on whole plant
TB,Koerleria_macrantha,KOMA,2,2,80,n,y,y,y,y,n,n,y,0,2,0,10.1,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,2,3,90,n,y,y,y,y,n,n,y,1,2,2,14.8,7/2/20,KB,
TB,Logfia_arvensis,LOAR,2,1,90,n,y,n,n,n,n,n,n,3,16,5,2.5,7/2/20,KB,
TB,Logfia_arvensis,LOAR,2,2,95,n,y,y,n,n,n,n,n,4,17,4,5,7/2/20,KB,
TB,Logfia_arvensis,LOAR,2,3,25,n,y,y,n,n,n,n,n,4,12,11,3.7,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,2,1,70,n,y,n,n,n,n,n,n,1,3,0,21.3,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,2,2,90,n,y,n,n,n,n,n,n,1,2,1,20.5,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,2,3,98,n,y,n,n,n,n,n,n,1,2,0,14,7/2/20,KB,
TB,Vicia_americana,VIAM,2,1,75,n,y,n,n,n,n,n,n,1,18,11,14,7/2/20,KB,
TB,Vicia_americana,VIAM,2,2,30,n,y,n,n,n,n,n,n,1,2,4,9,7/2/20,KB,
TB,Vicia_americana,VIAM,2,3,85,n,y,n,n,n,n,n,n,2,6,6,19,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,3,1,50,n,y,n,n,n,n,n,n,0,2,0,4.1,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,3,2,50,n,y,n,n,n,n,n,n,0,3,0,4,7/2/20,KB,
TB,Bouteloua_gracilis,BOGR,3,3,55,n,y,n,n,n,n,n,n,1,2,0,5.4,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,3,1,10,n,y,y,y,y,n,n,y,0,2,0,15.3,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,3,2,0,n,y,y,y,y,n,n,y,0,0,1,13.6,7/2/20,KB,
TB,Koerleria_macrantha,KOMA,3,3,40,n,y,n,n,n,n,n,n,1,1,2,13,7/2/20,KB,
TB,Logfia_arvensis,LOAR,3,1,20,n,y,y,n,n,n,n,n,3,30,13,6,7/2/20,KB,
TB,Logfia_arvensis,LOAR,3,2,45,n,y,y,n,n,n,n,n,5,27,20,12.5,7/2/20,KB,
TB,Logfia_arvensis,LOAR,3,3,15,n,y,n,n,n,n,n,n,2,12,11,4.5,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,3,1,95,n,y,n,n,n,n,n,n,0,2,1,16.5,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,3,2,60,n,y,n,n,n,n,n,n,0,2,0,16.1,7/2/20,KB,
TB,Pascopyrum_smithii,PASM,3,3,75,n,y,n,n,n,n,n,n,1,2,0,22,7/2/20,KB,
TB,Vicia_americana,VIAM,3,1,25,n,y,n,n,n,n,n,n,0,2,5,11.1,7/2/20,KB,
TB,Vicia_americana,VIAM,3,2,70,n,y,n,n,n,n,n,n,0,4,8,15,7/2/20,KB,
TB,Vicia_americana,VIAM,3,3,85,n,y,n,n,n,n,n,n,0,2,5,20.6,7/2/20,KB,
