entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bare_ground,final_total,final_total_excel,BODA,BOGR,BRAR,BRTE,HECO,KOMA,PASM,SPCR,VUOC,CADU,CAFI,ARCA,ARDR,ARFR,COVI,OPPO,ALDE,ANOC,ANPA,AMPS,ASVI,COCA,HEHI,LASE,LEDE,LIPU,LIRI,LOAR,LYJU,OESU,PEES,PHHO,PLPA,SPCO,TAOF,TRDU,VIAM,POSE,basal rosette,CHPR,LIIN,ASGR,DEPI,ASPU,CRMI,DRRE,ARPU,Lygo deomia,Lygo deomia,DECA,ZIVE
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,6,aerial,35,36,35.25,0,0.5,0,0.25,0,62,2,100,100,0,0,1,23,4,0,2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.5,1,0,0,0,0.25,1,0,1,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,6,basal,16,16,15.75,0,0.5,0,0.25,0,81,2,100,99.5,0,0,0.25,10,2,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0.5,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,7,aerial,30,32,32.25,0,0.5,0,0,0,25,45,100,102.75,0,1,1,0.5,3,4,3,0,4,0,11,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,7,basal,20,21,21,0,1,0,0,0,34,46,100,102,0,0.5,0.25,0.25,2,3,2,0,1,0,9,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,8,aerial,45,46,45.75,0,2,0,0,0,51,2,100,100.75,0,0,0.5,35,1,0,4,0,0.25,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0.25,0,0.5,0,0,1,0,0,0,0,0.25,1,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,8,basal,25,25,25.5,0,2,0,0,0,71,2,100,100.5,0,0,0.25,20,0.5,0,2,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0.5,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,9,aerial,30,30,30,0,0.25,0,0,0,40,30,100,100.25,0,0,2,3,4,2,2,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,1,0,0.25,0,0,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,9,basal,15,16,16.25,0,0.5,0,0,0,50,35,100,101.75,0,0,0.25,0.5,3,1,1,0,0.25,0,6,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0.25,0,0.25,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,10,aerial,41,42.5,42.5,0,0,0,0.25,0,57,2,100,101.75,0,1,1,27,2,0,1,0,3,0,5,0,0,1,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,10,basal,23,23.5,23.5,0,0,0,0.25,0,75,2,100,100.75,0,0.5,0.5,15,1,0,0.5,0,1,0,3,0,0,0.5,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,11,aerial,50,54,53.5,0,1,0,0,0,42,7,100,103.5,0,0,1,18,3,4,1,0,2,0,20,0,0.5,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0,0.25,2,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,11,basal,28,27,27.25,0,2,0,0,0,60,10,100,99.25,0,0,0.25,5,2,3,0.5,0,0.25,0,14,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,12,aerial,30,31,31.25,0.25,7,0,0,0,62,1,100,101.5,0,1,1,16,5,0,2,0,2,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.25,0.5,0,0,0,0,1,0.25,0.5,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,12,basal,14,14,13.75,0.25,7,0,0,0,78,1,100,100,0,0.5,0.25,6,3,0,1,0,0.5,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,13,aerial,25,25,25,0,0.25,0,0,0,50,25,100,100.25,0,0.25,2,0,1,2,0,0,1,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,3,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,13,basal,12,13,13.5,0,0.25,0,0,0,60,27,100,100.75,0,0.25,0.25,0,0.5,1,0,0,0.25,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.5,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,14,aerial,25,26.5,26.25,0.5,0,0.5,0,0,42,32,100,101.25,0,2,2,0,1,4,0,0,0.25,0,6,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.5,0,0,0,0,0.5,2,0.5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,14,basal,13,13.5,13.5,0.5,0,0.5,0,0,52,34,100,100.5,0,1,0.5,0,0.5,2,0,0,0.25,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0.5,0.25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,15,aerial,35,34,35,0,0,0,0,0,60,5,100,100,0,2,1,0,18,0,1,0,0.25,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,3,0.25,0,0,4,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,15,basal,23,22,22.5,0,0,0,0,0,71,6,100,99.5,0,1,0.25,0,14,0,0.5,0,0.25,0,3,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,16,aerial,37,38,37.75,0,0,0,0,0,60,3,100,100.75,0,2,3,3,21,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.5,0,0,0,0,0.5,2,0.5,2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,16,basal,20,20,19.75,0,0,0,0,0,77,3,100,99.75,0,1,1,1,13,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0.5,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,17,aerial,40,42,42.75,0,0,0,0,0,59,1,100,102.75,0,12,0.25,18,1,0,2,0,3,0,0,0,1,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,17,basal,20,19,20.5,0,0,0,0,0,78,2,100,100.5,0,10,0.25,6,0.5,0,1,0,0.5,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,18,aerial,40,42,42.25,0.5,0,0,0,0,57,2,100,101.75,0,1,3,25,3,0.5,2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,18,basal,17,17.5,17.5,0.5,0,0,0,0,80,2,100,100,0,0.5,1,11,2,0.25,0.5,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,19,aerial,40,39,39.5,0,0,0,0,0,56,4,100,99.5,0,0,8,1,5,0,6,0,0.5,0.25,0.5,0,0,0,0,0,2,0,0,0,0,0,0.25,0,0,0,0,12,0,0,0,0,0.25,0.25,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,19,basal,18,17,17,0,0,0,0,0,77,5,100,99,0,0,2,0.25,3,0,3,0,0.25,0.25,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0.25,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,20,aerial,40,41,40.75,0,0,0,0.25,0,57,3,100,101,3,0.5,6,3,8,0,5,0,0.5,3,5,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,20,basal,22,22,22.25,0,0,0,0.25,0,75,3,100,100.5,2,0.25,2,1,5,0,3,0,0.25,1,4,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,21,aerial,35,36,36.25,0,1,0,0,0,54,10,100,101.25,0,3,12,0.25,1,0,4,0,0.25,3,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0.25,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,21,basal,15,14,13.75,0,2,0,0,0,71,12,100,98.75,0,2,3,0.25,0.5,0,2,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,4,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,22,aerial,50,53,53,0,1,0,0.25,0,47,2,100,103.25,0,0.5,11,13,2,1,2,0,1,7,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,12,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,22,basal,21,21,21.25,0,1,0,0.25,0,76,2,100,100.5,0,0.25,4,5,1,0.5,1,0,0.5,3,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,4,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,23,aerial,30,32,32,0,1,0,0.25,0,49,20,100,102.25,0,1,0,0,3,1,3,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,3,0,0.25,0,0,0.5,3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,23,basal,18,18,17.25,0,2,0,0.25,0,58,22,100,99.5,0,0.5,0,0,2,0.5,2,0,0.25,0.25,8,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,2,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,24,aerial,34,35,34.75,0,3,0.25,0,0,62,1,100,101,0,0,9,0.5,11,0,3,0,0.25,4,4,0,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0.25,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,24,basal,17,17,17.25,0,3,0.25,0,0,79,1,100,100.5,0,0,3,0.25,6,0,2,0,0.25,1,3,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,25,aerial,30,29,29,0.25,0.5,0,0.5,0,45,25,100,100.25,0,0.5,4,3,3,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,3,0,0,0.25,1,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,25,basal,10,11,11,0.25,1,0,0.5,0,60,28,100,100.75,0,0.5,0.5,0.25,2,2,2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,26,aerial,35,35,34.75,0,0.25,0,0,0,60,5,100,100,0,1,4,0.5,1,0.5,6,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,7,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,26,basal,17,17.5,17.5,0,0.25,0,0,0,77,6,100,100.75,0,0.5,1,0.25,0.5,0.25,3,0,1,0,6,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0.25,0,0.25,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,27,aerial,35,36,36.25,0,0.5,0,0.25,0,35,30,100,102,0,0.5,2,0.25,2,0,1,0,1,0,15,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,7,0.5,0,0.5,0,0.25,0,0.5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,27,basal,20,21,21.5,0,1,0,0.25,0,46,33,100,101.75,0,0.25,0.25,0.25,1,0,0.5,0,0.25,0,12,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0.25,0,0.25,0,0.25,0,0.25,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,28,aerial,30,31,31,0.25,6,0,0,0,42,22,100,101.25,0,1,13,1,0,0,0,0,1,0,6,0,0.5,2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,1,0,0,0,0.5,2,0,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,28,basal,14,14,14,0.25,6,0,0,0,57,23,100,100.25,0,0.5,5,0.5,0,0,0,0,0.5,0,4,0,0.25,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.25,0.5,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,29,aerial,50,50,50.25,0,0,0,0.5,0,35,15,100,100.75,0,4,3,0,2,0,2,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0.25,0.25,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,29,basal,30,31,30.75,0,0,0,0.5,0,52,18,100,101.25,0,2,0.25,0,1,0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,30,aerial,37,38,38,0.25,1,0,0,0,53,9,100,101.25,0,1,4,0.25,2,0.5,0.25,0,3,0,12,6,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,5,0,0,0,0,0.25,0.25,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,30,basal,22,22,21.75,0.25,1,0,0,0,67,10,100,100,0,0.5,1,0.25,1,0.25,0.25,0,2,0,10,1,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0.25,0.25,0.25,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,31,aerial,30,31,31.25,0,1,0,0.25,0,20,50,100,102.5,0,0,5,1,2,1,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0,2,0,0.5,0,0,1,4,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,31,basal,10,11,11.5,0,2,0,0.25,0,23,55,100,91.75,0,0,1,0.25,1,0.5,2,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,1,0,0.25,0,0,0.25,0.5,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,32,aerial,25,25,25,0.25,2,0,0,0,48,25,100,100.25,0,2,1,0.25,2,4,1,0,0.25,0,5,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0.25,3,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,32,basal,11,11,11.5,0.25,2,0,0,0,58,29,100,100.75,0,1,0.25,0.25,1,2,0.5,0,0.25,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0.25,0.5,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,33,aerial,50,52,52.5,0,0,0,0,0,25,25,100,102.5,0,0,8,0.25,0,0,1,0,9,3,23,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,1,0,3,0,0,1,0,1,0.5,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,33,basal,25,25,25.25,0,0,0,0,0,45,30,100,100.25,0,0,2,0.25,0,0,0.5,0,3,0.25,16,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,1,0,0,0.25,0,0.5,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,34,aerial,26,26.5,26.5,0,1,0,1,0,42,30,100,100.5,0,4,2,0,6,3,3,0,1,2,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,34,basal,12,12,12.25,0,1,0,1,0,52,34,100,100.25,0,2,0.5,0,3,2,1,0,0.5,0.5,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,35,aerial,25,25,24.75,0,0,0.25,0,0,55,20,100,100,0,1,6,0,3,0,0.5,3,2,1,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,5,0,0,0,0,0.25,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,35,basal,10,11,11.25,0,0,0.25,0,0,68,22,100,101.5,0,1,1,0,2,0,0.25,2,0.5,0.25,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0.25,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,36,aerial,25,26,27.5,0,1,0,1,0,48,25,100,102.5,0,3,0.5,0,4,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,2,0.5,0,2,0,0.25,0.5,3,1,0,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0
