entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,Rock,Moss/Lichen/Bogr overlap,NOTES
Jill Baty,Kim LaPierre,6/26/18,2018,FK,10,aerial,75,75,75.5,2,0,0,22,0.5,0,,,2,7,5,2,,0.5,0,0.5,0.5,12,0,8,,,,1,,,,,0.5,0.5,0,0.5,,,,,0.5,,4,0.5,0.5,,,,,,0,30,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,10,Basal,30,33,33.5,8,0,0,36,0.5,0,,,1,2,3,1,,0.5,0,0.5,0.5,6,0,5,,,,0.5,,,,,0.5,0.5,0,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,10,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,8,aerial,95,116,116,0,0,0,5,0,0,,,2,75,4,0,,6,0.5,0,0,0,0,2,,,,0,,,,,0.5,0.5,0,0.5,,,,,0,,2,1,0,,,,,,0,22,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,8,Basal,40,38,38,2,0,0,56,0,0,,,1,20,1,0,,2,0.5,0,0,0,0,1,,,,0,,,,,0.5,0.5,0,0.5,,,,,0,,0.5,0.5,0,,,,,,0,10,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,54,Aerial,72,83.5,83.5,3,0,0.5,25,2,0,,,2,0,20,0,,1,3,0,2,8,0,0.5,,,,0,,,,,0.5,0,,4,,,,,1,,2,1,1,,,,,,0,37,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,54,Basal,27,27,27,5,0,0.5,65,2,0,,,0.5,0,7,0,,0.5,0.5,0,0.5,4,0,0.5,,,,0,,,,,0.5,0,,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,10,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,52,Aerial,80,98.5,98.5,0.5,0,1,19,0,0,,,0.5,0,25,0,,0.5,5,0,0.5,7,0,0,,,,0,,,,,0.5,0,,12,,,,,0.5,,0,2,2,,,,,,0,43,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,52,Basal,40,41.5,41.5,2,0,1,55,0,0,,,0.5,0,14,0,,0.5,1,0,0.5,3,0,0,,,,0,,,,,0.5,0,,5,,,,,0.5,,0,0.5,0.5,,,,,,0,15,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,50,Aerial,70,84.5,87.5,1,0,0.5,28,0.5,0,,,1,0.5,15,0,,1,2,0.5,0,2,0,0,,,,0,,,,,0.5,0,,33,,,,,0.5,,0.5,1,1,,,,,,0,29,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,50,Basal,40,39.5,39.5,3,0,0.5,56,0.5,0,,,0.5,0.5,6,0,,0.5,0.5,0.5,0,0.5,0,0,,,,0,,,,,0.5,0,,13,,,,,0.5,,0.5,0.5,0.5,,,,,,0,15,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,49,Aerial,60,72,72.5,5,1,0.5,32,1,0,,,0.5,2,8,0.5,,4,5,0.5,0,16,3,0,,,,1,,,,,0.5,0.5,,4,,,,,3,,3,2,1,,,,,,0,18,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,49,Basal,35,31.5,31.5,10,2,0.5,55,1,0,,,0.5,0.5,4,0.5,,1,1,0.5,0,9,0.5,0,,,,0.5,,,,,0.5,0.5,,1,,,,,1,,0.5,0.5,0.5,,,,,,0,9,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,34,Aerial,60,59.5,60,4,0,0,35,1,0,,,6,0,10,0,,2,0.5,0.5,2,0,0,0.5,,,,0,,,,,0.5,,0,0.5,,,,,0,,0,1,1,,,,,,0,35,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,34,Basal,30,29.5,30,9,0,0,60,1,0,,,4,0,6,0,,0.5,0.5,0.5,0.5,0,0,0.5,,,,0,,,,,0.5,,0,0.5,,,,,0,,0,0.5,0.5,,,,,,0,15,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,32,Aerial,55,73,66.5,6,0,0,40,1,0,,,7,0.5,2,0,,0.5,1,1,0,13,0,0.5,,,,0,,,,,0.5,,0,3,,,,,0.5,,7,1,3,,,,,,0,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.5,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,32,Basal,30,29,29,10,0,0,60,1,0,,,5,0.5,0.5,0,,0.5,0.5,0.5,0,7,0,0.5,,,,0,,,,,0.5,,0,1,,,,,0.5,,0.5,0.5,0.5,,,,,,0,10,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.5,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,21,Aerial,70,79,79,5,0,0,20,5,0,,,1,0,15,0,,4,1,0.5,7,1,0,1,,,,0,,,,,0.5,,0,6,,,,,0.5,,1,1,4,,,,,,0,35,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,21,Basal,40,37,37,15,0,0,40,5,0,,,0.5,0,8,0,,1,0.5,0.5,3,1,0,0.5,,,,0,,,,,0.5,,0,1,,,,,0.5,,0.5,0.5,0.5,,,,,,0,18,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,25,Aerial,70,90,85.5,1,2,0,27,0,0.5,,,2,3,8,1,,1,0.5,0.5,0,1,0,7,,,,0,,,,,0,,0.5,30,,,,,0,,0,1,0,,,,,,0,25,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,0,,
Jill Baty,Sally Koerner,6/25/18,2018,FK,25,Basal,40,40,40,7,2,0,50,0,0.5,,,1,0.5,3,0.5,,0.5,0.5,0.5,0,0.5,0,4,,,,0,,,,,0,,0.5,15,,,,,0,,0,0.5,0,,,,,,0,12,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,51,Aerial,80,104.5,104.5,3,0.5,0.5,15,0.5,0,,,1,0,18,1,,3,3,0.5,5,1,0,0,,0,,0,,,,,0.5,,,28,,,0,,0.5,,0,2,1,,,,,,0,40,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,51,Basal,45,43,43,6,1,0.5,49,0.5,0,,,0.5,0,8,0.5,,0.5,0.5,0.5,1,0.5,0,0,,0,,0,,,,,0.5,,,11,,,0,,0.5,,0,0.5,0.5,,,,,,0,18,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,53,Aerial,70,72,73.5,2,0,1,24,1,0,,,0.5,0,7,0,,1,0.5,0.5,2,4,0.5,0,,0,,0,,,,,0.5,,,1,,,0,,1,,0,0.5,2,,,,,,0,52,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,53,Basal,35,36.5,37,4,0,1,58,1,0,,,0.5,0,2,0,,0.5,0.5,0.5,0.5,1,0.5,0,,0,,0,,,,,0.5,,,0.5,,,0,,0.5,,0,0.5,0.5,,,,,,0,28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,47,Aerial,70,85,87.5,2,0,0.5,28,2,0,,,0.5,0,10,0.5,,3,2,0.5,0,5,0,0,,0.5,,0,,,,,0.5,,,12,,,0.5,,0.5,,0.5,0.5,0.5,,,,,,0,50,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,47,Basal,44,45,44.5,5,0,0.5,51,2,0,,,0.5,0,5,0.5,,0.5,0.5,0.5,0,3,0,0,,0.5,,0,,,,,0.5,,,5,,,0.5,,0.5,,0.5,0.5,0.5,,,,,,0,25,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,45,Aerial,88,107,106.5,1,0,0.5,10,0.5,0.5,,,0.5,40,10,0,,5,1,0,0,2,3,0,,0,,0,,,,,0.5,,,12,,,0,,1,,4,2,0.5,,,,,,0,25,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,45,Basal,35,34,33.5,3,0,0.5,62,0.5,0.5,,,0.5,10,5,0,,1,0.5,0,0,0.5,0.5,0,,0,,0,,,,,0.5,,,5,,,0,,0.5,,0.5,0.5,0.5,,,,,,0,8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,
Jill Baty,Kim LaPierre,.,2018,FK,41,Aerial,65,65,65,20,0,1,14,0.5,0.5,,,1,0,9,0.5,,0.5,10,0.5,0,14,0,0,,,,0,,0,,,0.5,,,4,,,,,3,,3,2,1,,,,,,0,15,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0,,
Jill Baty,Kim LaPierre,.,2018,FK,41,Basal,30,26.5,25.5,30,0,1,38,0.5,0.5,,,0.5,0,7,0.5,,0.5,1,0.5,0,6,0,0,,,,0,,0,,,0.5,,,1,,,,,0.5,,0.5,0.5,0.5,,,,,,0,5,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0,,
Jill Baty,Kevin Wilcox,.,2018,FK,42,Aerial,80,96.5,101.5,2,0,0,17,0.5,0.5,,,0.5,0,15,0,,0.5,0.5,0,0,9,0,0,,,,0,,0,,,0.5,,,20,,,,,3,,1,1,0.5,,,,,,0,50,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kevin Wilcox,.,2018,FK,42,Basal,45,48,40,3,0,0,48,0.5,0.5,,,0.5,0,10,0,,0.5,0.5,0,0,5,0,0,,,,0,,0,,,0.5,,,3,,,,,0.5,,0.5,0.5,0.5,,,,,,0,18,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kim LaPierre,.,2018,FK,39,Aerial,75,79.5,79.5,3,0,1,20,1,0,,,1,0,9,0,,0,4,0.5,0,18,0,0,,,,0,,0.5,,,0.5,,,3,,,,,0.5,,1,1,0.5,,,,,,0,40,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kim LaPierre,.,2018,FK,39,Basal,35,31,31,10,0,1,57,1,0,,,0.5,0,4,0,,0,1,0.5,0,9,0,0,,,,0,,0.5,,,0.5,,,1,,,,,0.5,,0.5,0.5,0.5,,,,,,0,12,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kevin Wilcox,.,2018,FK,40,Aerial,85,97.5,98.5,1,0,0,14,0.5,0,,,0,50,0,0,,5,0.5,0.5,0,1,0.5,0,,,,0,,0,,,0.5,,,0.5,,,,,0.5,,2,0.5,2,,,,,,0,35,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kevin Wilcox,.,2018,FK,40,Basal,40,38,38,2,0,0,57,0.5,0,,,0,20,0,0,,1,0.5,0.5,0,0.5,0.5,0,,,,0,,0,,,,,,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,12,,,,,0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,27,Aerial,65,70.5,70.5,6,0,0.5,27,0.5,0.5,,,3,0,5,0,,0.5,4,0.5,0,6,0,7,,,,0,,,,,0.5,0,0,13,,,,,0.5,,0,0.5,1,,,,,,0,28,,,,,,,,,,,,,,,,,,0.5,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,27,Basal,30,33.5,33.5,10,0,0.5,58,0.5,0.5,,,0.5,0,2,0,,0.5,1,0.5,0,3,0,5,,,,0,,,,,0.5,0,0,6,,,,,0.5,,0,0.5,0.5,,,,,,0,12,,,,,,,,,,,,,,,,,,0.5,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,4,Aerial,37,81,81,10,0.5,0.5,21,0.5,0,,,0,0,6,0,,1,0,0.5,3,9,0,6,,,,0,,,,,0.5,0,0,4,,,,,0,,2,0.5,0.5,,,,,,0,48,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,4,Basal,40,38.5,38.5,15,0.5,0.5,43,0.5,0,,,0,0,4,0,,0.5,0,0.5,0.5,6,0,3,,,,0,,,,,0.5,0,0,2,,,,,0,,0.5,0.5,0.5,,,,,,0,20,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,5,Aerial,70,88,88,3,0.5,0.5,25,0.5,0,,,2,0,8,0,,3,0,0,0,8,0.5,8,,,,3,,,,,0.5,0.5,0.5,5,,,,,0,,2,0.5,0.5,,,,,,0,45,,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,5,Basal,40,41.5,42,5,0.5,0.5,53,0.5,0,,,0.5,0,4,0,,0.5,0,0,0,5,0.5,4,,,,2,,,,,0.5,0.5,0.5,2,,,,,0,,0.5,0.5,0.5,,,,,,0,20,,,,,,,,,,,,,,,,,,0.5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,15,Aerial,30,73,74,1,0.5,0.5,38,0,0,,,1,0.5,17,0,,0.5,5,0.5,0,3,0,0.5,,,,0,,,,,0.5,0,0,0.5,,,,,0.5,,3,0.5,1,,,,,,0,40,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,15,Basal,35,33,34.5,2,0.5,0.5,62,0,0,,,0.5,0.5,10,0,,0.5,1,0.5,0,1,0,0.5,,,,0,,,,,0.5,0,0,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,17,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,26,Aerial,80,94.5,94.5,7,0.5,0,12,0.5,0,,0,7,0,9,0,,5,1,0,0,16,0,12,0,,,0,,,,,0,0,0,6,,,,,0,,0.5,0,1,,,,,,0,37,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,26,Basal,50,49.5,49.5,16,1,0,32,0.5,0,,0,4,0,4,0,,2,0.5,0,0,12,0,8,0,,,0,,,,,0,0,0,3,,,,,0,,0.5,0,0.5,,,,,,0,15,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,30,Aerial,65,81,73.5,15,0,0.5,20,0,0,,3,2,0,3,0,,0.5,1,0,0,13,0,4,4,,,0,,,,,0.5,0,0.5,27,,,,,0.5,,2,2,0.5,,,,,,0,13,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
