entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bareground,final_total,final_total_excel,BODA,BOGR,BRAR,BRTE,HECO,KOMA,PASM,SPCR,VUOC,CADU,CAFI,ARCA,ARDR,ARFR,COVI,OPPO,ALDE,ANOC,ANPA,AMPS,ASVI,COCA,HEHI,LASE,LEDE,LIPU,LIRI,LOAR,LYJU,OESU,PEES,PHHO,PLPA,SPCO,TAOF,TRDU,VIAM,POSE,Poa_diseased_Kwpic?,Linear_leaf_hairy_red_stem_KWpic?,LIIN,ARPU
MF,KW,6/23/2021,2021,FK,32,basal,,13,13.5,0.25,3,,,,60,25,,101.75,0.25,1,2,,1,2,0.25,,0.25,,6,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,
MF,KW,6/23/2021,2021,FK,33,aerial,18,18,19.25,,0.5,1,0.25,,70,9,,100,,,4,,,,0.25,,0.25,3,11,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,0.25,,,,
MF,KW,6/23/2021,2021,FK,33,basal,,10,10.25,,0.5,1,0.25,,78,10,,100,,,1,,,,0.25,,0.25,1,7,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,0.25,,,,
MF,KW,6/23/2021,2021,FK,25,aerial,50,52,53.75,0.5,2,0.25,0.25,,40,7,,103.75,,3,5,30,5,7,0.5,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,0.5,,,0.25,,,0.5,
MF,KW,6/23/2021,2021,FK,25,basal,30,29,30,0.5,3,0.25,0.25,,55,12,,101,,2,2,15,4,5,0.25,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,0.5,,,,0.25,,,0.25,,,0.25,
MF,KK,6/22/2021,2021,FK,17,aerial,,,57,,,,,,40,5,,102,,4,0.25,45,3,,1,,0.25,,0.5,,0.25,0.5,,,,,,,,,,,,,,,,0.5,,,,1,,,,,,,0.25,0.5
MF,KK,6/22/2021,2021,FK,17,basal,,,27.5,,,,,,60,10,,97.5,,3,0.25,20,2,,0.25,,0.25,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,0.25,0.25
MF,KK,6/22/2021,2021,FK,18,aerial,,,48,,,,,,40,8,,96,,0.25,0.25,40,3,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,3,,0.5,0.5,,,,,
MF,KK,6/22/2021,2021,FK,18,basal,,,18.75,,,,,,65,12,,95.75,,0.25,0.25,15,2,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,,,,,
MF,KK,6/22/2021,2021,FK,14,aerial,15,18,17.5,0.5,,,,,55,25,,98,,3,1,0.25,0.5,,0.25,,,,11,,,0.25,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,0.25,,,,
MF,KK,6/22/2021,2021,FK,14,basal,12,14,12,0.5,,,,,59,28,,99.5,,2,0.25,0.25,0.25,,0.25,,,,8,,,0.25,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,0.25,,,,
MF,KW,6/22/2021,2021,FK,8,aerial,,,45.5,,0.25,,,,55,2,,102.75,,0.25,3,40,0.5,,1,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
MF,KW,6/22/2021,2021,FK,8,basal,,,16.5,,0.5,,,,77,5,,99,,0.25,0.25,15,0.25,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,KW,6/22/2021,2021,FK,13,aerial,20,20,19.25,,0.5,,,,75,3,,97.75,,1,1,0.25,4,3,,,0.5,,8,,,1,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,KW,6/22/2021,2021,FK,13,basal,,13,13.25,,0.5,,,,82,4,,99.75,,0.5,0.25,0.25,3,2,,,0.25,,6,,,0.5,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,KW,6/22/2021,2021,FK,6,aerial,55,58,58.25,,3,,,,40,0.25,,101.5,,0.5,3,50,3,,0.25,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.25,,,,,,0.25,,
MF,KW,6/22/2021,2021,FK,6,basal,,24,24.25,,4,,,,70,0.25,,98.5,,0.25,1,20,2,,0.25,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,,,,0.25,,
MF,AD,6/22/2021,2021,FK,10,aerial,,,23,,0.5,,,,70,6,95,99.5,,0.5,0.25,12,0.25,0.25,0.25,,0.25,,5,,,0.5,,,,,,,,,,,,,,,,,,,,3,0.5,0.25,,,,,,
MF,AD,6/22/2021,2021,FK,10,basal,,,8.5,,1,,,,80,8,100,97.5,,0.25,0.25,4,0.25,0.25,0.25,,0.25,,2,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,
MF,AD,6/22/2021,2021,FK,16,aerial,30,29.5,28.75,,,,,,65,2,97.5,95.75,,0.25,6,8,10,,,,0.5,,,,,0.5,,,,,,,,,,,0.25,,,,,,,,,2,0.25,0.5,,,,,0.5,
MF,AD,6/22/2021,2021,FK,16,basal,,,11,,,,,,80,4,97,95,,0.25,1,2,6,,,,0.25,,,,,0.25,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0.25,,,,,0.25,
MF,AD,6/22/2021,2021,FK,4,aerial,25,28,26.75,,,,,,65,4,97,95.75,,0.25,8,0.25,5,,0.25,,0.25,,7,,,2,,,,,,,,,,,,,,,0.5,,,,,3,0.25,,,,,,,
MF,AD,6/22/2021,2021,FK,4,basal,,14,12.5,,,,,,80,5,99,97.5,,0.25,2,0.25,3,,0.25,,0.25,,5,,,0.5,,,,,,,,,,,,,,,0.25,,,,,0.5,0.25,,,,,,,
MF,KW,6/23/2021,2021,FK,28,aerial,15,16,17.5,0.25,3,0.25,0.25,,65,15,,101.25,,2,2,2,,,,,,,8,,0.5,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,
MF,KW,6/23/2021,2021,FK,28,basal,,10,10.75,0.25,4,0.25,0.25,,70,15,,100.5,,1,0.5,0.5,,,,,,,7,,0.25,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,0.5,,,,
MF,AD,6/23/2021,2021,FK,52,aerial,,28,38,,2,,,0.25,65,5,100,110.25,,,7,0.25,1,5,0.25,,0.25,0.25,18,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,
MF,AD,6/23/2021,2021,FK,52,basal,,17,17,,3,,,0.25,70,6,97,96.25,,,0.5,0.25,0.25,2,0.25,,0.25,0.25,11,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,1,,,,
MF,AD,6/23/2021,2021,FK,49,aerial,,24,23.75,,4,,0.25,0.25,67,4,100,99.25,,,1,6,1,2,0.25,,0.25,,8,,2,,,,,,,,,,,,,,,,,,,,,2,0.25,,,1,,,,
MF,AD,6/23/2021,2021,FK,49,basal,,10,9.25,,5,,0.25,0.25,80,5,100,99.75,,,0.25,0.5,0.25,1,0.25,,0.25,,5,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,,0.5,,,,
