"","Site","DxG_block","paddock","genus_species","species_code","Date","Season","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","percent_green","lifespan","growth_form","photosynthetic_pathway","leaf_thickness_.mm.","wet_leaf_weight_g","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Leaf_Area"
"38","FK",1,"MG","Artemisia_frigida","ARFR","7/1/22","Late",5.4,17,21,21,74,"perennial","woody","C3",0.029,"0.0028","0.1001","0.0005",0.186
"39","FK",1,"HG","Artemisia_frigida","ARFR","7/1/22","Late",5.3,6,19,3,90,"perennial","woody","C3",0.029,"0.0004","0.0156","1e-05",0.053
"40","FK",2,"LG","Artemisia_frigida","ARFR","7/1/22","Late",10.8,12,28,10,87,"perennial","woody","C3",0.028,"0.001","0.0365","0.0002",0.071
"41","FK",2,"MG","Artemisia_frigida","ARFR","7/1/22","Late",4.9,14,23,5,87,"perennial","woody","C3",0.038,"0.0015","0.0291","0.0001",0.105
"42","FK",2,"HG","Artemisia_frigida","ARFR","7/1/22","Late",24.8,14,45,6,77,"perennial","woody","C3",0.037,"0.0018","0.0621","0.0001",0.101
"43","FK",3,"LG","Artemisia_frigida","ARFR","7/1/22","Late",29.6,6,33,10,81,"perennial","woody","C3",0.037,"0.003","0.0505","0.0007",0.202
"44","FK",3,"MG","Artemisia_frigida","ARFR","7/1/22","Late",20.9,14,29,3,97,"perennial","woody","C3",0.033,"0.0018","0.0544","0.0001",0.106
"45","FK",3,"HG","Artemisia_frigida","ARFR","7/1/22","Late",26,26,37,20,85,"perennial","woody","C3",0.031,"0.0021","0.1193","0.0014",0.145
"46","FK",1,"LG","Aristida_purpurea","ARPU","7/1/22","Late",14.9,1,2,2,94,"perennial","graminoid","C4",0.03,"0.0097","0.0138","0.0046",0.519
"47","FK",1,"MG","Aristida_purpurea","ARPU","7/1/22","Late",15.5,0,1,1,98,"perennial","graminoid","C4",0.018,"0.0014","0.0195","0.0012",0.091
"48","FK",1,"HG","Aristida_purpurea","ARPU","7/1/22","Late",17.8,1,3,1,96,"perennial","graminoid","C4",0.018,"0.0069","0.0294","0.0027",0.392
"49","FK",2,"LG","Aristida_purpurea","ARPU","7/1/22","Late",12.7,0,1,0,99,"perennial","graminoid","C4",0.018,"0.0088","0.0415","0.0023",0.604
"50","FK",2,"MG","Aristida_purpurea","ARPU","7/1/22","Late",21.8,0,1,1,97,"perennial","graminoid","C4",0.022,"0.0285","0.134","0.0123",1.639
"51","FK",2,"HG","Aristida_purpurea","ARPU","7/1/22","Late",27.4,0,2,0,99,"perennial","graminoid","C4",0.019,"0.0058","0.0327","0.0018",0.288
"52","FK",3,"LG","Aristida_purpurea","ARPU","7/1/22","Late",29.5,1,2,0,99,"perennial","graminoid","C4",0.029,"0.024","0.0588","0.0087",1.214
"53","FK",3,"MG","Aristida_purpurea","ARPU","7/1/22","Late",19.7,0,2,1,98,"perennial","graminoid","C4",0.016,"0.0026","0.0244","0.0004",0.118
"54","FK",3,"HG","Aristida_purpurea","ARPU","7/1/22","Late",22.6,0,1,1,95,"perennial","graminoid","C4",0.021,"0.0036","0.0298","0.0014",0.182
"55","FK",1,"LG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"56","FK",1,"MG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"57","FK",1,"HG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"58","FK",2,"LG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"59","FK",2,"MG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"60","FK",2,"HG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"61","FK",3,"LG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"62","FK",3,"MG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"63","FK",3,"HG","Artemisia_tridentata","ARTR","7/1/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"64","FK",1,"LG","Astragalus_gracilis","ASGR","5/30/22","Early",14.6,4,10,0,99,"perennial","woody","C3",0.041,"0.1412","0.2662","0.033",4.687
"65","FK",1,"MG","Astragalus_gracilis","ASGR","5/30/22","Early",10.1,3,9,0,99,"perennial","woody","C3",0.039,"0.1351","0.2419","0.0292",3.294
"66","FK",1,"HG","Astragalus_gracilis","ASGR","5/30/22","Early",7.8,2,7,0,98,"perennial","woody","C3",0.041,"0.0606","0.0795","0.0152",1.829
"67","FK",2,"LG","Astragalus_gracilis","ASGR","5/31/22","Early",9.4,5,5,0,99,"perennial","woody","C3",0.056,"0.1363","0.1791","0.0325",3.781
"68","FK",2,"MG","Astragalus_gracilis","ASGR","5/31/22","Early",10.1,3,6,0,100,"perennial","woody","C3",0.049,"0.1123","0.1631","0.0286",3.415
"69","FK",2,"HG","Astragalus_gracilis","ASGR","5/31/22","Early",9.2,5,14,0,99,"perennial","woody","C3",0.043,"0.0823","0.3355","0.017",2.552
"70","FK",3,"LG","Astragalus_gracilis","ASGR","5/31/22","Early",10.3,3,6,0,100,"perennial","woody","C3",0.035,"0.1337","0.165","0.0293",3.867
"71","FK",3,"MG","Astragalus_gracilis","ASGR","6/1/22","Early",12.4,1,6,0,98,"perennial","woody","C3",0.034,"0.1405","0.1664","0.0358",3.996
"72","FK",3,"HG","Astragalus_gracilis","ASGR","6/1/22","Early",14.1,6,4,0,98,"perennial","woody","C3",0.033,"0.1469","0.1329","0.034",4.224
"73","FK",1,"LG","Astragalus_purshii","ASPU","5/30/22","Early",7.6,2,2,0,90,"perennial","woody","C3",0.039,"0.1466","0.0616","0.0281",6.498
"74","FK",1,"MG","Astragalus_purshii","ASPU","5/30/22","Early",14.7,3,6,1,95,"perennial","woody","C3",0.034,"0.6456","0.6332","0.1031",18.614
"75","FK",1,"HG","Astragalus_purshii","ASPU","5/30/22","Early",6.1,5,19,1,95,"perennial","woody","C3",0.063,"0.3755","1.2991","0.0738",13.459
"76","FK",2,"LG","Astragalus_purshii","ASPU","5/31/22","Early",4.8,1,6,1,97,"perennial","woody","C3",0.061,"0.0795","0.1096","0.0163",2.786
"77","FK",2,"MG","Astragalus_purshii","ASPU","5/31/22","Early",5.1,4,8,0,92,"perennial","woody","C3",0.035,"0.3065","0.3528","0.0634",8.355
"78","FK",2,"HG","Astragalus_purshii","ASPU","5/31/22","Early",5.4,2,4,0,85,"perennial","woody","C3",0.045,"0.1324","0.0621","0.0217",3.959
"79","FK",3,"LG","Astragalus_purshii","ASPU","5/31/22","Early",5.1,1,4,0,100,"perennial","woody","C3",0.057,"0.2383","0.1458","0.0438",7.858
"80","FK",3,"MG","Astragalus_purshii","ASPU","6/1/22","Early",4.8,2,8,0,95,"perennial","woody","C3",0.058,"0.2039","0.2547","0.0427",6.599
"81","FK",3,"HG","Astragalus_purshii","ASPU","6/1/22","Early",5.6,2,11,0,98,"perennial","woody","C3",0.048,"0.1583","0.1867","0.0298",6.556
"82","FK",1,"LG","Asclepias_stenophylla","ASST","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"83","FK",1,"MG","Asclepias_stenophylla","ASST","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"84","FK",1,"HG","Asclepias_stenophylla","ASST","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"85","FK",2,"LG","Asclepias_stenophylla","ASST","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"86","FK",2,"MG","Asclepias_stenophylla","ASST","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"87","FK",2,"HG","Asclepias_stenophylla","ASST","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"88","FK",3,"LG","Asclepias_stenophylla","ASST","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"89","FK",3,"MG","Asclepias_stenophylla","ASST","6/1/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"90","FK",3,"HG","Asclepias_stenophylla","ASST","6/1/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"91","FK",1,"LG","Bouteloua_dactyloides","BODA","7/1/22","Late",12.9,1,0,0,98,"perennial","graminoid","C4",0.026,"0.0101","0.0164","0.0038",0.89
"92","FK",1,"MG","Bouteloua_dactyloides","BODA","7/1/22","Late",8.7,1,0,0,99,"perennial","graminoid","C4",0.016,"0.0109","0.0068","0.0048",0.84
"93","FK",1,"HG","Bouteloua_dactyloides","BODA","7/1/22","Late",4.8,1,3,0,97,"perennial","graminoid","C4",0.022,"0.0081","0.0093","0.0034",0.682
"94","FK",2,"LG","Bouteloua_dactyloides","BODA","7/1/22","Late",8.1,1,3,0,99,"perennial","graminoid","C4",0.027,"0.011","0.0129","0.0042",0.735
"95","FK",2,"MG","Bouteloua_dactyloides","BODA","7/1/22","Late",9.4,1,4,0,96,"perennial","graminoid","C4",0.021,"0.0073","0.0113","0.0027",0.588
"96","FK",2,"HG","Bouteloua_dactyloides","BODA","7/1/22","Late",6.9,2,3,0,99,"perennial","graminoid","C4",0.027,"0.0157","0.0211","0.0057",1.195
"97","FK",3,"LG","Bouteloua_dactyloides","BODA","7/1/22","Late",7.5,1,4,0,98,"perennial","graminoid","C4",0.023,"0.0107","0.0196","0.0043",0.916
"98","FK",3,"MG","Bouteloua_dactyloides","BODA","7/1/22","Late",8.7,1,3,0,97,"perennial","graminoid","C4",0.024,"0.0084","0.0149","0.0039",0.665
"99","FK",3,"HG","Bouteloua_dactyloides","BODA","7/1/22","Late",11,1,4,0,97,"perennial","graminoid","C4",0.022,"0.0158","0.0212","0.0069",1.145
"100","FK",1,"LG","Bouteloua_gracilis","BOGR","7/1/22","Late",7.4,2,1,1,95,"perennial","graminoid","C4",0.031,"0.0167","0.0258","0.0067",0.823
"101","FK",1,"MG","Bouteloua_gracilis","BOGR","7/1/22","Late",5.2,1,0,0,95,"perennial","graminoid","C4",0.024,"0.013","0.015","0.0047",0.8
"102","FK",1,"HG","Bouteloua_gracilis","BOGR","7/1/22","Late",5.1,1,2,0,96,"perennial","graminoid","C4",0.026,"0.0106","0.0078","0.0041",0.645
"103","FK",2,"LG","Bouteloua_gracilis","BOGR","7/1/22","Late",4.3,2,2,0,96,"perennial","graminoid","C4",0.021,"0.009","0.0127","0.0036",0.586
"104","FK",2,"MG","Bouteloua_gracilis","BOGR","7/1/22","Late",1.4,2,4,0,90,"perennial","graminoid","C4",0.021,"0.0078","0.0158","0.0031",0.476
"105","FK",2,"HG","Bouteloua_gracilis","BOGR","7/1/22","Late",6.2,1,3,1,98,"perennial","graminoid","C4",0.022,"0.0136","0.0192","0.0055",0.724
"106","FK",3,"LG","Bouteloua_gracilis","BOGR","7/1/22","Late",7.5,1,3,1,88,"perennial","graminoid","C4",0.023,"0.0118","0.0135","0.0043",0.565
"107","FK",3,"MG","Bouteloua_gracilis","BOGR","7/1/22","Late",4.1,1,1,3,75,"perennial","graminoid","C4",0.022,"0.008","0.0108","0.004",0.462
"108","FK",3,"HG","Bouteloua_gracilis","BOGR","7/1/22","Late",13.7,1,3,1,96,"perennial","graminoid","C4",0.022,"0.0143","0.041","0.0051",0.811
"109","FK",1,"LG","Bromus_arvensis","BRAR","5/30/22","Early",8.5,0,3,3,70,"annual","graminoid","C3",0.022,"0.0048","0.0116","0.0016",0.383
"110","FK",1,"MG","Bromus_arvensis","BRAR","5/30/22","Early",7,0,4,1,95,"annual","graminoid","C3",0.022,"0.0062","0.016","0.0016",0.397
"111","FK",1,"HG","Bromus_arvensis","BRAR","5/30/22","Early",8.1,1,5,0,80,"annual","graminoid","C3",0.026,"0.0075","0.0188","0.0017",0.586
"112","FK",2,"LG","Bromus_arvensis","BRAR","5/31/22","Early",8.8,0,4,1,95,"annual","graminoid","C3",0.033,"0.0113","0.026","0.0034",0.91
"113","FK",2,"MG","Bromus_arvensis","BRAR","5/31/22","Early",12.4,0,5,1,95,"annual","graminoid","C3",0.032,"0.0232","0.0469","0.005",0.979
"114","FK",2,"HG","Bromus_arvensis","BRAR","5/31/22","Early",6.3,1,2,2,90,"annual","graminoid","C3",0.037,"0.0019","0.008","0.002",0.148
"115","FK",3,"LG","Bromus_arvensis","BRAR","5/31/22","Early",11.4,0,7,1,90,"annual","graminoid","C3",0.058,"0.014","0.0312","0.0038",0.943
"116","FK",3,"MG","Bromus_arvensis","BRAR","6/1/22","Early",8.1,0,4,0,98,"annual","graminoid","C3",0.051,"0.002","0.0098","0.0003",0.124
"117","FK",3,"HG","Bromus_arvensis","BRAR","6/1/22","Early",6.7,0,3,1,95,"annual","graminoid","C3",0.028,"0.003","0.0081","0.0011",0.231
"118","FK",1,"LG","Bromus_tectorum","BRTE","5/30/22","Early",29,0,3,2,95,"annual","graminoid","C3",0.021,"0.0532","0.4745","0.0187",3.773
"119","FK",1,"MG","Bromus_tectorum","BRTE","5/30/22","Early",13.3,0,3,8,90,"annual","graminoid","C3",0.035,"0.0078","0.0783","0.0018",0.603
"120","FK",1,"HG","Bromus_tectorum","BRTE","5/30/22","Early",16.7,0,2,4,95,"annual","graminoid","C3",0.029,"0.0064","0.0645","0.0019",0.534
"121","FK",2,"LG","Bromus_tectorum","BRTE","5/31/22","Early",11.6,1,2,0,80,"annual","graminoid","C3",NA,"",NA,NA,NA
"122","FK",2,"MG","Bromus_tectorum","BRTE","5/31/22","Early",15.3,0,4,4,80,"annual","graminoid","C3",0.026,"0.0152","0.1037","0.005",1.216
"123","FK",2,"MG","Bromus_tectorum","BRTE","5/31/22","Early",15.3,0,4,4,80,"annual","graminoid","C3",0.026,"0.0152","0.1037","0.005",1.216
"124","FK",2,"HG","Bromus_tectorum","BRTE","5/31/22","Early",9.6,0,2,2,90,"annual","graminoid","C3",0.038,"0.0021","0.0274","0.0008",0.191
"125","FK",3,"LG","Bromus_tectorum","BRTE","5/31/22","Early",11.9,0,3,8,75,"annual","graminoid","C3",0.036,"0.0093","0.0946","0.0026",0.705
"126","FK",3,"MG","Bromus_tectorum","BRTE","6/1/22","Early",13.2,0,4,1,90,"annual","graminoid","C3",0.034,"0.0037","0.035","0.001",0.292
"127","FK",3,"HG","Bromus_tectorum","BRTE","6/1/22","Early",9.5,0,4,2,98,"annual","graminoid","C3",0.038,"0.0019","0.0263","0.0008",0.179
"128","FK",1,"LG","Carex_duriuscula","CADU","5/30/22","Early",5.9,0,1,1,75,"perennial","graminoid","C3",0.038,"0.0131","0.0381","0.0043",0.541
"129","FK",1,"MG","Carex_duriuscula","CADU","5/30/22","Early",9.8,2,3,1,65,"perennial","graminoid","C3",0.028,"0.036","0.0237","0.0128",1.581
"130","FK",1,"HG","Carex_duriuscula","CADU","5/30/22","Early",4,0,2,1,90,"perennial","graminoid","C3",0.043,"0.0141","0.0523","0.0042",0.591
"131","FK",2,"LG","Carex_duriuscula","CADU","5/31/22","Early",5.1,0,2,0,75,"perennial","graminoid","C3",0.056,"0.0136","0.0474","0.0051",0.697
"132","FK",2,"MG","Carex_duriuscula","CADU","5/31/22","Early",1.3,0,1,1,80,"perennial","graminoid","C3",0.041,"0.0213","0.0661","0.0058",0.861
"133","FK",2,"HG","Carex_duriuscula","CADU","5/31/22","Early",10.3,1,4,0,80,"perennial","graminoid","C3",0.039,"0.0489","0.0401","0.0182",NA
"134","FK",3,"LG","Carex_duriuscula","CADU","5/31/22","Early",9.7,0,1,3,80,"perennial","graminoid","C3",0.033,"0.0146","0.0515","0.0048",0.63
"135","FK",3,"MG","Carex_duriuscula","CADU","6/1/22","Early",2.2,0,1,4,60,"perennial","graminoid","C3",0.028,"0.0048","0.0365","0.001",0.295
"136","FK",3,"HG","Carex_duriuscula","CADU","6/1/22","Early",4.8,0,4,1,75,"perennial","graminoid","C3",0.029,"0.0203","0.0153","0.0072",0.766
"137","FK",1,"LG","Carex_filifolia","CAFI","5/30/22","Early",16.8,2,2,1,90,"perennial","graminoid","C3",0.056,"0.0242","0.0224","0.0092",0.957
"138","FK",1,"MG","Carex_filifolia","CAFI","5/30/22","Early",15.2,1,4,0,100,"perennial","graminoid","C3",0.037,"0.0246","0.0202","0.0082",0.95
"139","FK",1,"HG","Carex_filifolia","CAFI","5/30/22","Early",8.6,1,3,0,85,"perennial","graminoid","C3",0.055,"0.011","0.012","0.0032",0.408
"140","FK",2,"LG","Carex_filifolia","CAFI","5/31/22","Early",9.1,4,4,0,90,"perennial","graminoid","C3",0.062,"0.0224","0.0196","0.0077",0.864
"141","FK",2,"MG","Carex_filifolia","CAFI","5/31/22","Early",16.5,1,3,0,85,"perennial","graminoid","C3",0.051,"0.0202","0.0176","0.0078",0.745
"142","FK",2,"HG","Carex_filifolia","CAFI","5/31/22","Early",17.8,1,4,0,97,"perennial","graminoid","C3",0.021,"0.024","0.0281","0.0088",0.879
"143","FK",3,"LG","Carex_filifolia","CAFI","5/31/22","Early",11.9,1,2,1,75,"perennial","graminoid","C3",0.04,"0.0076","0.0088","0.0028",0.396
"144","FK",3,"MG","Carex_filifolia","CAFI","6/1/22","Early",18.9,1,3,0,75,"perennial","graminoid","C3",0.04,"0.0173","0.0413","0.0066",0.57
"145","FK",3,"HG","Carex_filifolia","CAFI","6/1/22","Early",12,1,3,1,60,"perennial","graminoid","C3",0.043,"0.0177","0.011","0.006",0.696
"146","FK",1,"LG","Conyza_canadensis","COCA","5/30/22","Early",21,114,32,0,95,"biennial","forb","C3",0.048,"0.0185","0.4281","0.0042",0.686
"147","FK",1,"MG","Conyza_canadensis","COCA","5/30/22","Early",19.3,106,36,0,95,"biennial","forb","C3",0.042,"0.029","0.5606","0.0075",0.944
"148","FK",1,"HG","Conyza_canadensis","COCA","5/30/22","Early",18.6,99,28,6,97,"biennial","forb","C3",0.041,"0.0161","0.3908","0.0042",0.563
"149","FK",2,"LG","Conyza_canadensis","COCA","5/31/22","Early",15.4,29,24,3,97,"biennial","forb","C3",0.042,"0.0141","0.182","0.0025",0.559
"150","FK",2,"MG","Conyza_canadensis","COCA","5/31/22","Early",23.7,166,33,3,95,"biennial","forb","C3",0.048,"0.0128","0.6176","0.0034",0.477
"151","FK",2,"HG","Conyza_canadensis","COCA","5/31/22","Early",18.1,81,26,0,95,"biennial","forb","C3",0.046,"0.0214","0.3294","0.0048",0.756
"152","FK",3,"LG","Conyza_canadensis","COCA","5/31/22","Early",15,84,27,0,98,"biennial","forb","C3",0.045,"0.0212","0.3392","0.0056",0.723
"153","FK",3,"MG","Conyza_canadensis","COCA","6/1/22","Early",22.6,151,32,2,97,"biennial","forb","C3",0.043,"0.018","0.5317","0.0044",0.622
"154","FK",3,"HG","Conyza_canadensis","COCA","6/1/22","Early",13.2,102,33,0,97,"biennial","forb","C3",0.037,"0.0188","0.3182","0.0048",0.753
"155","FK",1,"LG","Euphorbia_nutans","EUNU","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"156","FK",1,"MG","Euphorbia_nutans","EUNU","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"157","FK",1,"HG","Euphorbia_nutans","EUNU","5/30/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"158","FK",2,"LG","Euphorbia_nutans","EUNU","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"159","FK",2,"MG","Euphorbia_nutans","EUNU","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"160","FK",2,"HG","Euphorbia_nutans","EUNU","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"161","FK",3,"LG","Euphorbia_nutans","EUNU","5/31/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"162","FK",3,"MG","Euphorbia_nutans","EUNU","6/1/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"163","FK",3,"HG","Euphorbia_nutans","EUNU","6/1/22","Early",NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA
"164","FK",1,"LG","Hesperostipa_comata","HECO","5/30/22","Early",20.6,2,2,1,98,"perennial","graminoid","C3",0.035,"0.0449","0.0672","0.0161",1.759
"165","FK",1,"MG","Hesperostipa_comata","HECO","5/30/22","Early",26.1,2,2,0,80,"perennial","graminoid","C3",0.029,"0.0364","0.0514","0.0133",2.058
"166","FK",1,"HG","Hesperostipa_comata","HECO","5/30/22","Early",24.1,1,1,1,80,"perennial","graminoid","C3",0.025,"0.0144","0.0094","0.0048",0.712
"167","FK",2,"LG","Hesperostipa_comata","HECO","5/31/22","Early",14.5,1,2,0,99,"perennial","graminoid","C3",0.033,"0.0255","0.0409","0.01",1.157
